block,n_test_edges,n_test_signals,n_train_after_purge,base_joint_nll,aug_joint_nll,base_joint_nll_edge,aug_joint_nll_edge,base_brier_eqsig,aug_brier_eqsig,base_brier_pathsum,aug_brier_pathsum,base_edge_logloss,aug_edge_logloss,d_joint_nll,d_brier,bootstrap_dnll_mean,bootstrap_dnll_ci_lo,bootstrap_dnll_ci_hi,bootstrap_dnll_p,bootstrap_dbrier_mean,bootstrap_dbrier_ci_lo,bootstrap_dbrier_ci_hi,bootstrap_dbrier_p,gate_A,gate_B,gate_C,gate_D,verdict
G1b-core,55945,24954,21135,1.6809162943727887,1.6810246952855028,0.7497646833457604,0.749813035055044,0.22865629046744193,0.2286362372939679,0.683453783666779,0.6833973364105707,0.7497646833457683,0.7498130350550434,-0.00010840091271413499,2.0053173474032793e-05,8.179801036151657e-05,-0.0002360622367611087,0.0004294397186246021,0.676,0.00010064019373965638,2.1892769376468533e-05,0.0001988050553518687,1.0,False,True,False,True,NO_FORMATION_TYPE_INCREMENT_WF1
G1c0,55945,24954,21135,1.6810776885279124,1.6806699718562776,0.7498366724376714,0.7496548123639566,0.22864792046909246,0.22875607382044869,0.6842897210111762,0.6840483440566145,0.7498366724376782,0.7496548123639566,0.00040771667163475023,-0.00010815335135622162,0.0008185975639525784,-0.0005533979272394352,0.002406155535412624,0.854,4.6266266452580805e-05,-0.00016048375266800794,0.0003413081586758632,0.588,True,False,False,False,NO_STRUCTURE_SIZE_INCREMENT_WF1
