audit,quintile,n_edges,n_signals,NEXT_pct,LOSS_pct,CENSOR_pct,avg_delta_R
swing_structure_size_R,1,3624,3201,0.6062362030905077,0.2806291390728477,0.11313465783664459,1.1021332221548517
swing_structure_size_R,2,3486,3134,0.5903614457831325,0.316982214572576,0.09265633964429146,1.3275954751761665
swing_structure_size_R,3,2950,2783,0.5586440677966101,0.32508474576271185,0.11627118644067796,1.3375393133771114
swing_structure_size_R,4,2432,2277,0.540296052631579,0.3548519736842105,0.10485197368421052,1.886556617810728
swing_structure_size_R,5,2670,2458,0.450187265917603,0.36479400749063673,0.1850187265917603,2.501728742299472
period_range_R,1,12653,9432,0.5352880739745515,0.3253773808582945,0.13933454516715404,1.987668857658023
period_range_R,2,10387,7813,0.5906421488398961,0.3004717435255608,0.10888610763454318,1.4090733939966356
period_range_R,3,10111,7780,0.5757096231826724,0.3243002670359015,0.09999010978142617,1.3746761708754163
period_range_R,4,10086,7891,0.5540352964505255,0.3188578227245687,0.12710688082490582,1.7077163062673615
period_range_R,5,10607,8126,0.5214481003111153,0.3465635900820213,0.1319883096068634,1.8318682892348928
