event_id,symbol,trigger_time,timeframe,object_type,structure_class,bias,object_price_center,source_index,confirmed_index,age_bars,zone_low,zone_high,canonical_bar_low,canonical_bar_high,canonical_endpoints_swapped,relation,distance_pct
M:5m:1:1:2973:2988:1,M,2025-03-26 11:30:00,1h,active_bull_internal_ob,internal,1,2795.5,120,124,247,2784.0,2807.0,2784.0,2807.0,False,below,0.7776599505125487
M:5m:1:1:2973:2988:1,M,2025-03-26 11:30:00,1h,active_bull_internal_ob,internal,1,2745.5,75,87,284,2733.0,2758.0,2733.0,2758.0,False,below,2.509720749381407
M:5m:1:1:2973:2988:1,M,2025-03-26 11:30:00,4h,current_internal_high,internal,0,2928.0,137,142,16,2928.0,2928.0,,,,above,3.4994697773064685
M:5m:1:1:2973:2988:1,M,2025-03-26 11:30:00,4h,current_internal_low,internal,0,2834.0,152,157,1,2834.0,2834.0,,,,above,0.17674089784376104
M:5m:1:1:2973:2988:1,M,2025-03-26 11:30:00,4h,current_swing_low,swing,0,2614.0,16,66,92,2614.0,2614.0,,,,below,7.599858607281725
M:5m:1:1:2973:2988:1,M,2025-03-26 11:30:00,4h,active_bear_internal_ob,internal,-1,2864.5,155,158,0,2851.0,2878.0,2851.0,2878.0,False,above,0.7776599505125487
M:5m:1:1:2973:2988:1,M,2025-03-26 11:30:00,4h,active_bull_internal_ob,internal,1,2798.5,51,53,105,2784.0,2813.0,2784.0,2813.0,False,below,0.5655708731000354
M:5m:1:1:2973:2988:1,M,2025-03-26 11:30:00,4h,active_bull_internal_ob,internal,1,2745.5,32,37,121,2733.0,2758.0,2733.0,2758.0,False,below,2.509720749381407
M:5m:1:1:3007:3017:1,M,2025-03-20 21:05:00,5m,current_internal_high,internal,0,2934.0,3370,3375,27,2934.0,2934.0,,,,above,3.019662921348315
M:5m:1:1:3007:3017:1,M,2025-03-20 21:05:00,5m,current_internal_low,internal,0,2898.0,3359,3364,38,2898.0,2898.0,,,,above,1.75561797752809
M:5m:1:1:3007:3017:1,M,2025-03-20 21:05:00,5m,current_swing_high,swing,0,2923.0,3275,3325,77,2923.0,2923.0,,,,above,2.633426966292135
M:5m:1:1:3007:3017:1,M,2025-03-20 21:05:00,5m,current_swing_low,swing,0,2880.0,3289,3339,63,2880.0,2880.0,,,,above,1.1235955056179776
M:5m:1:1:3007:3017:1,M,2025-03-20 21:05:00,5m,active_bull_internal_ob,internal,1,2847.0,3007,3017,385,2845.0,2849.0,2845.0,2849.0,False,overlap,0.0
M:5m:1:1:3007:3017:1,M,2025-03-20 21:05:00,5m,active_bear_internal_ob,internal,-1,2925.5,3372,3384,18,2922.0,2929.0,2922.0,2929.0,False,above,2.598314606741573
M:5m:1:1:3007:3017:1,M,2025-03-20 21:05:00,5m,active_bull_internal_ob,internal,1,2825.0,2973,2988,414,2822.0,2828.0,2822.0,2828.0,False,below,0.7022471910112359
M:5m:1:1:3007:3017:1,M,2025-03-20 21:05:00,5m,active_bull_internal_ob,internal,1,2824.0,1632,1640,1762,2821.0,2827.0,2821.0,2827.0,False,below,0.7373595505617977
M:5m:1:1:3007:3017:1,M,2025-03-20 21:05:00,5m,active_bull_internal_ob,internal,1,2816.5,1212,1218,2184,2815.0,2818.0,2815.0,2818.0,False,below,1.053370786516854
M:5m:1:1:3007:3017:1,M,2025-03-20 21:05:00,5m,EQL,equal,0,2850.0,1798,1808,1594,2850.0,2850.0,,,,above,0.0702247191011236
