symbol,n_pen,p_reclaim,p_accept,n_reclaim,p_rev_mss
AU,5338,0.7823,0.2177,4176,0.4464
SN,5178,0.8472,0.1528,4387,0.4782
NI,5172,0.8347,0.1647,4317,0.4492
AG,5049,0.772,0.228,3898,0.4679
SC,5021,0.7544,0.2402,3788,0.4366
CU,4595,0.7909,0.2089,3634,0.5025
P,4323,0.8325,0.1672,3599,0.4976
AL,4050,0.8314,0.1686,3367,0.4583
RU,4020,0.847,0.153,3405,0.4802
MA,3887,0.8415,0.1585,3271,0.4433
TA,3836,0.8407,0.1593,3225,0.4304
M,3631,0.8028,0.1972,2915,0.4494
RB,3537,0.8196,0.1804,2899,0.4936
CF,3307,0.808,0.1917,2672,0.5052
I,3182,0.8385,0.1615,2668,0.4775
