symbol,liquidity_type,state
SC,CONFIRMED_SWING_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,CONFIRMED_SWING_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,CONFIRMED_SWING_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,CONFIRMED_SWING_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,CONFIRMED_SWING_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,CONFIRMED_SWING_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,CONFIRMED_SWING_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,CONFIRMED_SWING_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,CONFIRMED_SWING_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,CONFIRMED_SWING_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,CONFIRMED_SWING_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,CANONICAL_EQL,ROLL_CENSORED_PRE_INTERACTION
SC,CANONICAL_EQL,ROLL_CENSORED_PRE_INTERACTION
SC,CANONICAL_EQL,ROLL_CENSORED_PRE_INTERACTION
SC,CONFIRMED_SWING_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,CONFIRMED_SWING_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,CONFIRMED_SWING_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,CONFIRMED_SWING_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,CONFIRMED_SWING_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,CONFIRMED_SWING_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,CANONICAL_EQL,ROLL_CENSORED_PRE_INTERACTION
SC,CONFIRMED_SWING_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,CONFIRMED_SWING_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,CONFIRMED_SWING_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_TRADING_DAY_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_TRADING_DAY_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_TRADING_DAY_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_TRADING_DAY_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_TRADING_DAY_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_TRADING_DAY_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_TRADING_DAY_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_TRADING_DAY_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_TRADING_DAY_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_TRADING_DAY_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_TRADING_DAY_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_TRADING_DAY_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_TRADING_DAY_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_HIGH,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_HIGH,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_CONTIG_SESSION_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_TRADING_WEEK_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_TRADING_WEEK_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_TRADING_WEEK_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_TRADING_WEEK_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_TRADING_WEEK_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_TRADING_WEEK_LOW,ROLL_CENSORED_PRE_INTERACTION
SC,PREV_TRADING_WEEK_LOW,ROLL_CENSORED_PRE_INTERACTION
