sbr_by_symbol,n,p
AU,5338,0.3767
SN,5178,0.4585
NI,5172,0.4292
AG,5049,0.3597
SC,4968,0.3152
CU,4595,0.3362
P,4323,0.3486
AL,4050,0.3699
RU,4020,0.397
MA,3887,0.3764
TA,3836,0.3741
M,3631,0.3242
RB,3537,0.2966
CF,3332,0.2947
I,3182,0.2923
