env4h_1h,n_pen,p_reclaim_against,p_reclaim_with,p_rev_mss_against,p_rev_mss_with
ALIGNED,26010,0.8278,0.8102,0.4723,0.4491
CONFLICT,38116,0.8178,0.808,0.475,0.461
