stage,raw_n,pct_of_prev
LIQUIDITY LEVELS,81306,
FIRST INTERACTIONS (touch),77232,94.99
PENETRATION,64126,83.03
RECLAIM,52221,81.43
ACCEPTANCE,11872,22.73
POST-RECLAIM: REVERSAL_MSS,24377,205.33
POST-RECLAIM: RE-ACCEPTANCE,27806,114.07
