env4h_1h,n_pen,p_same_bar_against,p_same_bar_with,n_close_beyond,p_later_reclaim_against,p_later_reclaim_with
ALIGNED,25965,0.3692,0.3654,14769,0.7141,0.6881
CONFLICT,38133,0.3685,0.3529,21424,0.696,0.6896
