liquidity_type,n_pen,p_reclaim,p_accept,n_reclaim,p_rev_mss
PREV_CONTIG_SESSION_HIGH,19655,0.8041,0.1952,15805,0.4547
PREV_CONTIG_SESSION_LOW,18674,0.8308,0.1691,15515,0.498
PREV_TRADING_DAY_HIGH,5152,0.7991,0.1995,4117,0.4202
PREV_TRADING_DAY_LOW,4651,0.8194,0.1806,3811,0.47
CONFIRMED_SWING_HIGH,4418,0.7938,0.2046,3507,0.3949
CONFIRMED_SWING_LOW,3836,0.8147,0.1853,3125,0.4698
CANONICAL_EQH,3059,0.8215,0.1785,2513,0.4767
CANONICAL_EQL,2696,0.8457,0.1543,2280,0.5202
PREV_TRADING_WEEK_HIGH,1092,0.7628,0.2344,833,0.4214
PREV_TRADING_WEEK_LOW,893,0.8007,0.1993,715,0.4965
