lr_by_symbol,n,p
AU,3265,0.6469
SC,3160,0.6301
AG,3100,0.6342
NI,2836,0.7052
CU,2811,0.6713
SN,2748,0.7147
P,2554,0.7381
AL,2144,0.7104
RU,2069,0.7347
MA,2039,0.7288
TA,1978,0.7336
M,1966,0.6857
RB,1939,0.7323
CF,1893,0.7116
I,1691,0.7522
