interaction_time,trading_day,calendar_date
2025-01-02 21:00:00,2025-01-03,2025-01-02
2025-01-02 21:00:00,2025-01-03,2025-01-02
2025-01-02 21:00:00,2025-01-03,2025-01-02
2025-01-02 21:00:00,2025-01-03,2025-01-02
2025-01-02 21:20:00,2025-01-03,2025-01-02
2025-01-02 21:20:00,2025-01-03,2025-01-02
2025-01-03 21:00:00,2025-01-06,2025-01-03
2025-01-03 21:00:00,2025-01-06,2025-01-03
2025-01-03 21:00:00,2025-01-06,2025-01-03
2025-01-03 21:00:00,2025-01-06,2025-01-03
2025-01-03 21:00:00,2025-01-06,2025-01-03
2025-01-06 21:00:00,2025-01-07,2025-01-06
2025-01-06 21:00:00,2025-01-07,2025-01-06
2025-01-06 21:00:00,2025-01-07,2025-01-06
2025-01-06 21:00:00,2025-01-07,2025-01-06
2025-01-06 21:00:00,2025-01-07,2025-01-06
2025-01-06 21:00:00,2025-01-07,2025-01-06
2025-01-07 21:00:00,2025-01-08,2025-01-07
2025-01-07 21:15:00,2025-01-08,2025-01-07
2025-01-07 21:15:00,2025-01-08,2025-01-07
2025-01-02 21:00:00,2025-01-03,2025-01-02
2025-01-02 21:00:00,2025-01-03,2025-01-02
2025-01-02 21:00:00,2025-01-03,2025-01-02
2025-01-02 21:00:00,2025-01-03,2025-01-02
2025-01-02 21:20:00,2025-01-03,2025-01-02
