fold,n_pen,p_same_bar,n_cb,p_later_reclaim
F1,6558,0.3599,3753,0.6944
F2,6647,0.3841,3768,0.7123
F3,6630,0.3774,3698,0.6842
F4,7761,0.3788,4320,0.7081
