metric,n_a,n_b,p_a,p_b,pp_diff,relative_risk,ci,rr_ci
B: P(RECLAIM|pen) AGAINST vs WITH 1h,29528,30750,0.8222,0.8089,0.0133,1.0164,"[-0.0009, 0.0267]","[0.9988, 1.0334]"
C: P(REVERSAL_MSS_5M|reclaim) AGAINST vs WITH,24278,24874,0.4738,0.456,0.0179,1.0392,"[-0.0056, 0.0395]","[0.988, 1.0902]"
C2: P(RE-ACCEPT|reclaim) AGAINST vs WITH,24278,24874,0.5257,0.5429,-0.0172,0.9684,"[-0.0389, 0.0066]","[0.9292, 1.0127]"
