liquidity_scope,n_pen,p_reclaim,p_accept,n_reclaim,p_rev_mss
CONTIG_SESSION,38329,0.8171,0.1824,31320,0.4761
5m,9948,0.8219,0.1777,8176,0.4577
TRADING_DAY,9803,0.8087,0.1906,7928,0.4441
15m,3194,0.8034,0.196,2566,0.4595
TRADING_WEEK,1985,0.7798,0.2186,1548,0.4561
1h,867,0.7878,0.2111,683,0.4627
