factor,bucket,direction,status,discovery_delta_R,validation_delta_R,discovery_delta_target_hit_pp,validation_delta_target_hit_pp,discovery_bucket_n,validation_bucket_n,symbol_available,symbol_same_sign
source_tf,5m,FOLLOW,FAIL_DISCOVERY_EFFECT,0.0031759999999999983,-0.046467,1.1824999999999974,-1.0336000000000012,4677,2059,4,4
source_tf,5m,FADE,FAIL_DISCOVERY_EFFECT,-0.019802,0.103788,-0.23940000000000072,2.9778999999999973,4677,2059,4,4
source_tf,15m,FOLLOW,FAIL_DISCOVERY_EFFECT,0.031106,0.068971,-0.1357999999999998,1.6178000000000026,2166,1003,4,3
source_tf,15m,FADE,FAIL_DISCOVERY_EFFECT,-0.010917,-0.120808,-0.6448999999999983,-1.3876999999999973,2166,1003,4,4
source_tf,1h,FOLLOW,SURVIVES_NEGATIVE,-0.069291,-0.020007999999999998,-2.5799000000000016,-0.7011000000000017,854,455,4,3
source_tf,1h,FADE,FAIL_VALIDATION,0.069255,-0.012490999999999999,1.9008000000000025,-3.9051,854,455,4,2
source_ob_structure,internal,FOLLOW,FAIL_DISCOVERY_EFFECT,-0.049916999999999996,-0.114915,-0.1461999999999991,0.048399999999998444,6866,3097,4,4
source_ob_structure,internal,FADE,FAIL_CROSS_SYMBOL,0.061519,0.049718,0.47860000000000125,-0.9643999999999986,6866,3097,4,2
source_ob_structure,swing,FOLLOW,FAIL_DISCOVERY_EFFECT,0.049916999999999996,0.114915,0.1461999999999991,-0.048399999999998444,831,420,4,4
source_ob_structure,swing,FADE,FAIL_CROSS_SYMBOL,-0.061519,-0.049718,-0.47860000000000125,0.9643999999999986,831,420,4,2
touch_bin,1,FOLLOW,FAIL_DISCOVERY_EFFECT,0.037986000000000006,-0.027202999999999998,1.899999999999999,1.6063999999999967,3656,1624,4,3
touch_bin,1,FADE,FAIL_VALIDATION,-0.052538,0.026837,-1.0475000000000012,1.226900000000003,3656,1624,4,3
touch_bin,2,FOLLOW,FAIL_DISCOVERY_EFFECT,-0.019536,0.0011929999999999996,-1.9601000000000006,-2.0931999999999977,1682,759,4,2
touch_bin,2,FADE,FAIL_DISCOVERY_EFFECT,-0.004654,-0.012961,-0.5576999999999999,-1.0004999999999986,1682,759,4,2
touch_bin,3,FOLLOW,FAIL_DISCOVERY_EFFECT,0.022212000000000003,0.061654,0.7756000000000013,-0.1804,963,422,4,1
touch_bin,3,FADE,FAIL_DISCOVERY_EFFECT,-0.007718,-0.10034699999999999,-0.24980000000000002,-4.294900000000002,963,422,4,3
touch_bin,4+,FOLLOW,FAIL_VALIDATION,-0.05817,-0.00046900000000000067,-1.5084999999999988,-0.1607000000000025,1396,712,4,3
touch_bin,4+,FADE,SURVIVES_POSITIVE,0.102325,0.041197,2.584900000000001,1.968700000000001,1396,712,4,3
touch_behavior,NO_BREACH,FOLLOW,FAIL_DISCOVERY_EFFECT,0.023028,0.0008260000000000003,-5.019600000000002,-2.8723000000000027,6188,2783,4,2
touch_behavior,NO_BREACH,FADE,FAIL_DISCOVERY_EFFECT,0.025812,-0.052783,-2.1397999999999975,-2.4964999999999957,6188,2783,4,2
touch_behavior,BREACH_RECLAIM,FOLLOW,FAIL_DISCOVERY_EFFECT,0.010644,0.09435299999999999,4.419900000000002,3.542600000000001,708,386,4,3
touch_behavior,BREACH_RECLAIM,FADE,FAIL_CROSS_SYMBOL,-0.119104,-0.045377,-0.9873999999999994,-1.9366999999999968,708,386,4,2
touch_behavior,CLOSE_BEYOND,FOLLOW,FAIL_CROSS_SYMBOL,-0.053598,-0.110159,4.526199999999997,1.4379999999999975,801,348,4,2
