wf,task,quintile,n,mean_predicted,mean_realized,median_realized,share_realized_gt_0,q5_minus_q1,spearman_quintile_vs_realized
WF1,E,1,632,-0.5951058302076764,-0.06496714218795159,0.0,0.31329113924050633,0.015791298784174658,0.39999999999999997
WF1,E,2,632,-0.17707634465532976,-0.04168680875546324,0.0,0.310126582278481,0.015791298784174658,0.39999999999999997
WF1,E,3,632,0.05158341506057584,-0.031218059377282798,0.0,0.3512658227848101,0.015791298784174658,0.39999999999999997
WF1,E,4,632,0.24331569570406794,0.06779722768716168,0.0,0.35917721518987344,0.015791298784174658,0.39999999999999997
WF1,E,5,632,0.5642553665240733,-0.04917584340377693,0.0,0.2927215189873418,0.015791298784174658,0.39999999999999997
WF1,V,1,632,-0.38965760675299416,-0.0022603978300180863,0.0,0.2958860759493671,-0.025771637254476162,0.09999999999999999
WF1,V,2,632,-0.03903071150049793,-0.0925632911392405,0.0,0.15664556962025317,-0.025771637254476162,0.09999999999999999
WF1,V,3,632,0.09266981240207486,-0.09710874568469358,0.0,0.1360759493670886,-0.025771637254476162,0.09999999999999999
WF1,V,4,632,0.22907630660584366,0.048832986625181034,0.0,0.19936708860759494,-0.025771637254476162,0.09999999999999999
WF1,V,5,632,0.4968741765506972,-0.02803203508449425,0.0,0.24367088607594936,-0.025771637254476162,0.09999999999999999
WF2,E,1,570,-0.38700896863686024,-0.00825086531807132,0.0,0.3543859649122807,-0.09041241985506306,-0.7
WF2,E,2,569,-0.1350900365148502,0.03995743158442875,0.0,0.38312829525483305,-0.09041241985506306,-0.7
WF2,E,3,570,-0.008921299419140204,0.019042841050100286,0.0,0.3473684210526316,-0.09041241985506306,-0.7
WF2,E,4,569,0.11055141247344165,-0.008398364820793805,0.0,0.3444639718804921,-0.09041241985506306,-0.7
WF2,E,5,569,0.3085720462197257,-0.09866328517313437,0.0,0.29349736379613356,-0.09041241985506306,-0.7
WF2,V,1,570,-0.38187852546106427,-0.04934836971322834,0.0,0.21754385964912282,0.07419832841874587,0.8999999999999998
WF2,V,2,569,-0.10657846232285371,-0.141091252556992,0.0,0.1687170474516696,0.07419832841874587,0.8999999999999998
WF2,V,3,570,0.026106451026856964,-0.029239766081872433,0.0,0.16842105263157894,0.07419832841874587,0.8999999999999998
WF2,V,4,569,0.1429274236084393,-0.027031061813409207,0.0,0.2126537785588752,0.07419832841874587,0.8999999999999998
WF2,V,5,569,0.3963189199945919,0.02484995870551752,0.0,0.24956063268892795,0.07419832841874587,0.8999999999999998
WF3,E,1,602,-0.18207515631760388,-0.07473265465922921,0.0,0.2840531561461794,0.01903842298687948,0.7999999999999999
WF3,E,2,602,-0.08412046356499303,-0.09588156313891992,0.0,0.31893687707641194,0.01903842298687948,0.7999999999999999
WF3,E,3,601,-0.02131725173460627,-0.06960678617121269,0.0,0.3277870216306156,0.01903842298687948,0.7999999999999999
WF3,E,4,602,0.034389811838620284,-0.005792770003507742,0.0,0.44019933554817275,0.01903842298687948,0.7999999999999999
WF3,E,5,601,0.13699629146973122,-0.05569423167234973,0.0,0.3627287853577371,0.01903842298687948,0.7999999999999999
WF3,V,1,602,-0.40743695650799133,-0.2302095175681988,0.0,0.2026578073089701,0.23676371476624478,0.0
WF3,V,2,602,-0.11947356683658358,0.0070074032778306905,0.0,0.19269102990033224,0.23676371476624478,0.0
WF3,V,3,601,-0.0014160581023357924,-0.06465855941317146,0.0,0.18635607321131448,0.23676371476624478,0.0
WF3,V,4,602,0.1046548943507492,-0.23911947882049156,0.0,0.19933554817275748,0.23676371476624478,0.0
WF3,V,5,601,0.2912437431655248,0.0065541971980459775,0.0,0.27454242928452577,0.23676371476624478,0.0
