task,wf,model_type,feature_block,inner_mean_spearman
E,WF1,HistGBR,S1,0.02000722428686881
V,WF1,HistGBR,S2,0.08486406278516073
E,WF2,HistGBR,S1,0.027693624722839035
V,WF2,HistGBR,S2,0.016183220050682436
E,WF3,Ridge,S1,0.0271706396565141
V,WF3,HistGBR,S1,0.04691417642179475
