wf,task,model_type,feature_block,inner_mean_spearman,n_train,n_test,r2,spearman,mae,pearson
WF1,E,HistGBR,S1,0.02000722428686881,2603,3160,-0.30997779134560255,0.014044140028273052,0.6329811763332258,0.021613465304446487
WF1,V,HistGBR,S2,0.08486406278516073,2603,3160,-0.11128147244231013,-0.00807079673131032,0.6068343209907645,-0.00868069338738544
WF2,E,HistGBR,S1,0.027693624722839035,5753,2847,-0.11742402426561016,-0.04337461848890347,0.612184370886368,-0.026507926863034978
WF2,V,HistGBR,S2,0.016183220050682436,5753,2847,-0.0534922127793549,0.041039078477357285,0.5898287118275212,0.029190860593864332
WF3,E,Ridge,S1,0.0271706396565141,8607,3008,-0.013143175559519715,0.06356630589872643,0.5463676648353225,0.037679307680347905
WF3,V,HistGBR,S1,0.04691417642179475,8607,3008,-0.02707186421238217,0.04440151780921873,0.6466481915870353,0.05592418068746053
