模型,特征视图,累计收益,夏普率,最大回撤,利润因子,交易次数,不交易比例,选中平均收益
CatBoost回归,TEMPORAL,-0.5981,-0.4624,1.2166,0.9570804389361255,1628,0.8009,-0.026221
LightGBM回归,SNAPSHOT,1.5659,1.207,0.9926,1.0638439930391532,1581,0.8068,0.037061
LightGBM回归,TEMPORAL,-3.5348,-2.4133,3.9891,0.8579795646828672,1997,0.757,-0.092771
Ridge回归,TEMPORAL,0.3588,0.2883,1.3244,1.0476534061215077,1193,0.8543,0.029382
XGBoost回归,TEMPORAL,-1.2051,-0.7907,2.9162,0.9519993469699779,1831,0.7761,-0.028904
