模型,快照夏普,修正后时间增强夏普,差值
CatBoost回归,-0.9173,-0.4624,0.4549
LightGBM回归,1.207,-2.4133,-3.6203
Ridge回归,0.3601,0.2883,-0.0718
XGBoost回归,-0.0936,-0.7907,-0.6971
