模型,特征视图,品种,累计收益,夏普率,最大回撤,利润因子,交易次数
CatBoost回归,TEMPORAL,AG,-1.0511,-0.2975,3.1337,0.9484665024717481,782
CatBoost回归,TEMPORAL,CU,-0.6836,-0.1963,3.5654,1.0588925708256742,688
CatBoost回归,TEMPORAL,M,-0.8275,-0.5266,1.9889,0.5566010969247003,96
CatBoost回归,TEMPORAL,RB,-1.5952,-1.4846,2.3744,0.7349640768245361,62
LightGBM回归,SNAPSHOT,AG,0.258,0.0936,3.2374,1.0360330945682512,586
LightGBM回归,SNAPSHOT,CU,4.2718,1.5128,2.214,1.143179624556174,615
LightGBM回归,SNAPSHOT,M,-3.3574,-1.8674,3.9087,0.8314812350373799,224
LightGBM回归,SNAPSHOT,RB,-0.5733,-0.4471,2.6249,1.2797468955328444,156
LightGBM回归,TEMPORAL,AG,-3.7951,-1.1865,6.8849,0.7924236865781931,746
LightGBM回归,TEMPORAL,CU,-4.531,-1.1642,7.3059,0.8859073800223212,792
LightGBM回归,TEMPORAL,M,-1.711,-0.6814,4.4725,0.9037231616811313,232
LightGBM回归,TEMPORAL,RB,-0.5834,-0.2731,2.3743,0.9493028906031051,227
Ridge回归,TEMPORAL,AG,-3.2243,-1.3854,4.3423,0.851768044123258,405
Ridge回归,TEMPORAL,CU,3.098,0.9537,2.4733,1.1324803270022705,598
Ridge回归,TEMPORAL,M,6.4478,2.0148,2.0029,1.790698403079639,109
Ridge回归,TEMPORAL,RB,-3.1553,-2.5686,3.2043,0.7193196303694325,81
XGBoost回归,TEMPORAL,AG,-10.2363,-3.5709,10.4629,0.6847352956209626,672
XGBoost回归,TEMPORAL,CU,1.7517,0.5761,3.072,1.107331766843011,726
XGBoost回归,TEMPORAL,M,0.3273,0.185,2.185,1.1550414441325876,197
XGBoost回归,TEMPORAL,RB,1.538,0.6557,2.7004,1.2066906468995269,236
