模型,特征视图,折,累计收益,夏普率,最大回撤,利润因子,交易次数
CatBoost回归,TEMPORAL,F1,-0.5577,-1.693,1.2025,0.9209427929023803,367
CatBoost回归,TEMPORAL,F2,-0.5692,-1.6755,1.0334,0.9264373169454454,563
CatBoost回归,TEMPORAL,F3,0.5774,1.4642,0.7524,1.0178210093893534,536
CatBoost回归,TEMPORAL,F4,-0.0486,-0.2812,0.3329,0.9421165509905968,162
LightGBM回归,SNAPSHOT,F1,0.5269,1.4731,0.6855,1.0512429209842722,563
LightGBM回归,SNAPSHOT,F2,0.9602,2.1735,0.9926,1.1348728272159418,703
LightGBM回归,SNAPSHOT,F3,0.4005,2.1699,0.3119,1.208700004386415,113
LightGBM回归,SNAPSHOT,F4,-0.3218,-1.3265,0.8216,0.8343221489358552,202
LightGBM回归,TEMPORAL,F1,-0.1249,-0.4332,0.6324,1.0421652765556328,217
LightGBM回归,TEMPORAL,F2,-0.957,-3.1784,1.3345,0.8496660434168629,445
LightGBM回归,TEMPORAL,F3,-0.6592,-3.5242,0.7258,0.6862762720443579,180
LightGBM回归,TEMPORAL,F4,-1.7937,-2.9748,2.1258,0.8598741291621885,1155
Ridge回归,TEMPORAL,F1,-0.5093,-1.3136,1.3244,0.9626693492896375,511
Ridge回归,TEMPORAL,F2,-0.1496,-1.3086,0.2929,0.8342958611291791,43
Ridge回归,TEMPORAL,F3,0.0892,0.4255,0.5363,0.9632624438948598,109
Ridge回归,TEMPORAL,F4,0.9286,2.1006,0.6815,1.1759457256454668,530
XGBoost回归,TEMPORAL,F1,-1.7191,-4.7902,1.9813,0.7804503639373352,597
XGBoost回归,TEMPORAL,F2,0.991,1.608,1.6259,1.1265501303149579,907
XGBoost回归,TEMPORAL,F3,-0.2174,-1.4917,0.681,0.7950811694771253,124
XGBoost回归,TEMPORAL,F4,-0.2597,-1.6064,0.6087,0.8840262781378178,203
