dim,level,n,n_left,n_right,p_left,p_right,tau,ci_low,ci_high,infer
symbol,AG,169,63,106,0.6825,0.8491,0.0553,,,False
symbol,AL,159,46,113,0.6087,0.7345,0.1487,,,False
symbol,AU,174,84,90,0.7976,0.8778,0.2158,,,False
symbol,CF,192,20,172,0.9,0.8023,1.0878,,,False
symbol,CU,172,52,120,0.7115,0.825,0.0919,,,False
symbol,I,173,4,169,1.0,0.8047,-0.2214,,,False
symbol,M,164,39,125,0.4872,0.848,-1.3906,,,False
symbol,MA,159,43,116,0.8837,0.75,0.1231,,,False
symbol,NI,236,92,144,0.913,0.9028,0.1527,,,False
symbol,P,209,81,128,0.6914,0.8594,-0.1784,,,False
symbol,RB,220,42,178,0.8095,0.7921,-0.0311,,,False
symbol,RU,239,76,163,0.8553,0.7546,-0.398,,,False
symbol,SC,182,62,120,0.7742,0.7833,-0.176,,,False
symbol,SN,249,110,139,0.7182,0.7626,0.0345,,,False
symbol,TA,181,42,139,0.7619,0.8058,0.293,,,False
fold,F1,301,99,202,0.7374,0.8317,0.474,,,False
fold,F2,252,95,157,0.6842,0.758,-0.2224,,,False
fold,F3,329,127,202,0.8031,0.7772,-0.2132,,,False
fold,F4,348,133,215,0.8872,0.8326,-0.0479,,,False
fold,NA,1648,402,1246,0.7313,0.8114,-0.0227,-0.1842,0.1737,True
