mb,n,later_reclaim_rate,structural_acceptance_rate
"(-0.501, -0.4]",587,0.845,0.155
"(-0.4, -0.3]",552,0.8116,0.1884
"(-0.3, -0.2]",689,0.8113,0.1887
"(-0.2, -0.1]",614,0.7459,0.2541
"(-0.1, -1.11e-16]",242,0.8017,0.1983
"(-1.11e-16, 0.1]",1357,0.8077,0.1923
"(0.1, 0.2]",625,0.8176,0.1792
"(0.2, 0.3]",749,0.8358,0.1642
"(0.3, 0.4]",696,0.7816,0.2184
"(0.4, 0.5]",585,0.7778,0.2137
