variable,left_mean,right_mean,left_median,right_median,smd,key
penetration_depth_R,0.8627,0.9729,0.7009,0.7143,-0.1242,True
close_beyond_R,0.5473,0.6051,0.3488,0.4025,-0.0901,True
bar_range_R,2.0674,2.2725,1.6973,1.9048,-0.1306,False
abs_return_R,1.8475,1.9259,1.3333,1.447,-0.0402,False
pre_range_12_R,5.3164,5.1337,4.8699,4.7368,0.085,True
pre_rv_12_R,3.0979,3.0642,2.5555,2.6683,0.0194,False
pre_ret_3_R,0.0113,-0.0073,0.1316,0.0,0.0127,False
pre_ret_12_R,0.0175,-0.0233,0.0127,0.0145,0.0146,False
volume_z_t0,2.052,2.2633,1.9102,2.2638,-0.175,False
level_age_log1p,4.1885,3.5302,4.3694,3.5114,0.2677,False
atr_rel_pre,0.0026,0.0021,0.0022,0.0017,0.3341,False
volume_z_20_pre,0.3969,0.3697,0.1776,0.1135,0.0268,False
minute_from_session_open,36.2675,32.908,25.0,15.0,0.0738,False
next_liquidity_distance_R,0.3904,0.4743,0.1852,0.2632,-0.1122,False
opposite_liquidity_distance_R,0.3301,0.3924,0.1724,0.25,-0.0846,False
nearest_ob_width_R,1.6657,1.8457,1.2,1.3754,-0.1087,False
