margin,n,share
"(-0.501, -0.45]",313,0.04674
"(-0.45, -0.4]",274,0.04092
"(-0.4, -0.35]",291,0.04346
"(-0.35, -0.3]",261,0.03898
"(-0.3, -0.25]",347,0.05182
"(-0.25, -0.2]",342,0.05108
"(-0.2, -0.15]",329,0.04913
"(-0.15, -0.1]",285,0.04256
"(-0.1, -0.05]",165,0.02464
"(-0.05, -1.11e-16]",77,0.0115
"(-1.11e-16, 0.05]",1182,0.17652
"(0.05, 0.1]",175,0.02614
"(0.1, 0.15]",257,0.03838
"(0.15, 0.2]",368,0.05496
"(0.2, 0.25]",352,0.05257
"(0.25, 0.3]",397,0.05929
"(0.3, 0.35]",318,0.04749
"(0.35, 0.4]",378,0.05645
"(0.4, 0.45]",298,0.0445
"(0.45, 0.5]",287,0.04286
