variable,level,left_share,right_share,abs_diff_pp
symbol,AG,0.0736,0.0524,2.12
symbol,AL,0.0537,0.0559,0.21
symbol,AU,0.0981,0.0445,5.36
symbol,CF,0.0234,0.0851,6.17
symbol,CU,0.0607,0.0593,0.14
symbol,I,0.0047,0.0836,7.89
symbol,M,0.0456,0.0618,1.63
symbol,MA,0.0502,0.0574,0.71
symbol,NI,0.1075,0.0712,3.63
symbol,P,0.0946,0.0633,3.13
symbol,RB,0.0491,0.088,3.9
symbol,RU,0.0888,0.0806,0.82
symbol,SC,0.0724,0.0593,1.31
symbol,SN,0.1285,0.0687,5.98
symbol,TA,0.0491,0.0687,1.97
liquidity_type,CANONICAL_EQH,0.0409,0.0391,0.18
liquidity_type,CANONICAL_EQL,0.0432,0.047,0.38
liquidity_type,CONFIRMED_SWING_HIGH,0.0794,0.0589,2.06
liquidity_type,CONFIRMED_SWING_LOW,0.0689,0.0574,1.16
liquidity_type,PREV_CONTIG_SESSION_HIGH,0.2629,0.3121,4.92
liquidity_type,PREV_CONTIG_SESSION_LOW,0.3061,0.317,1.09
liquidity_type,PREV_TRADING_DAY_HIGH,0.0794,0.0722,0.72
liquidity_type,PREV_TRADING_DAY_LOW,0.09,0.0707,1.92
liquidity_type,PREV_TRADING_WEEK_HIGH,0.0187,0.0134,0.53
liquidity_type,PREV_TRADING_WEEK_LOW,0.0105,0.0124,0.18
liquidity_source_tf,15m,0.0631,0.047,1.61
liquidity_source_tf,1h,0.0164,0.0134,0.3
liquidity_source_tf,5m,0.153,0.1419,1.11
liquidity_source_tf,CONTIG_SESSION,0.5689,0.6291,6.02
liquidity_source_tf,TRADING_DAY,0.1694,0.1429,2.65
liquidity_source_tf,TRADING_WEEK,0.0292,0.0257,0.35
side,-1,0.5187,0.5045,1.42
side,1,0.4813,0.4955,1.42
session_type,1260.0,0.3458,0.3516,0.58
session_type,540.0,0.2617,0.2127,4.9
session_type,630.0,0.1624,0.1845,2.21
session_type,810.0,0.2301,0.2512,2.11
same_price_has_htf_liquidity,False,0.3972,0.4293,3.21
same_price_has_htf_liquidity,True,0.6028,0.5707,3.21
nearest_ob_source_tf,15m,0.271,0.3165,4.55
nearest_ob_source_tf,1h,0.1472,0.1459,0.13
nearest_ob_source_tf,5m,0.5818,0.5376,4.42
nearest_ob_freshness,FRESH,0.7675,0.7725,0.5
nearest_ob_freshness,RETESTED,0.2325,0.2275,0.5
sweep_vs_1h,AGAINST_TREND,0.4463,0.4535,0.72
sweep_vs_1h,UNKNOWN,0.0,0.002,0.2
sweep_vs_1h,WITH_TREND,0.5537,0.5445,0.92
sweep_vs_15m,UNKNOWN,1.0,1.0,0.0
env4h_vs_1h,AGAINST_TREND,0.2138,0.2275,1.37
env4h_vs_1h,UNKNOWN,0.5222,0.5425,2.03
env4h_vs_1h,WITH_TREND,0.264,0.23,3.4
trend_1h_vs_15m,UNKNOWN,1.0,1.0,0.0
