risk_ATR,wf,contact_type,n,base_rate,r2_roc_auc
0.5,WF1,TOUCH_ONLY,5839,0.7504709710566878,0.7750813131776686
0.5,WF1,PENETRATE_CLOSE_BEYOND,7251,0.5377189353192663,0.7777422198703419
0.5,WF1,PENETRATE_RECLAIM,5372,0.5186150409530901,0.7567393091854144
0.5,WF1,PENETRATE_CLOSE_AT,1786,0.5391937290033595,0.8125112769052765
0.5,WF1,GAP_CROSS,3517,0.5393801535399488,0.7782159289846867
0.5,WF2,GAP_CROSS,3683,0.5248438772739614,0.762593599881753
0.5,WF2,PENETRATE_CLOSE_BEYOND,7063,0.5157864929916466,0.7812980674304482
0.5,WF2,PENETRATE_RECLAIM,5360,0.4703358208955224,0.7457164677574873
0.5,WF2,PENETRATE_CLOSE_AT,1327,0.5531273549359458,0.7851144827712964
0.5,WF2,TOUCH_ONLY,4681,0.7415082247383038,0.7834730982330573
0.5,WF3,PENETRATE_CLOSE_BEYOND,7222,0.5221545278316256,0.7667631725007782
0.5,WF3,PENETRATE_RECLAIM,5682,0.4649771207321366,0.7493404244192996
0.5,WF3,GAP_CROSS,4143,0.501086169442433,0.7309373697883895
0.5,WF3,TOUCH_ONLY,4077,0.7471179789060584,0.7898737305066256
0.5,WF3,PENETRATE_CLOSE_AT,1339,0.5825242718446602,0.8082209531672859
1.0,WF1,TOUCH_ONLY,6476,0.8823347745521927,0.8040826417961318
1.0,WF1,PENETRATE_CLOSE_BEYOND,7636,0.7328444211629125,0.7933505112194985
1.0,WF1,PENETRATE_RECLAIM,5549,0.7120201838169039,0.7994782138771921
1.0,WF1,PENETRATE_CLOSE_AT,1874,0.740128068303095,0.8464755599442757
1.0,WF1,GAP_CROSS,3611,0.7427305455552479,0.7881661742076708
1.0,WF2,GAP_CROSS,3771,0.7316361707769823,0.7637711363600549
1.0,WF2,PENETRATE_CLOSE_BEYOND,7445,0.7196776359973136,0.7942938233859583
1.0,WF2,PENETRATE_RECLAIM,5527,0.6764971955853085,0.7729351362056515
1.0,WF2,PENETRATE_CLOSE_AT,1399,0.7726947819871337,0.8095753407920688
1.0,WF2,TOUCH_ONLY,5145,0.8761904761904762,0.8155170504486007
1.0,WF3,PENETRATE_CLOSE_BEYOND,7477,0.7163300789086532,0.7886462203245823
1.0,WF3,PENETRATE_RECLAIM,5853,0.6668375192209124,0.7689633877950558
1.0,WF3,GAP_CROSS,4207,0.7273591632992631,0.7554186539480657
1.0,WF3,TOUCH_ONLY,4528,0.8895759717314488,0.8121236345580933
1.0,WF3,PENETRATE_CLOSE_AT,1414,0.772984441301273,0.8110376710474188
2.0,WF1,TOUCH_ONLY,6595,0.9672479150871872,0.8464823088490592
2.0,WF1,PENETRATE_CLOSE_BEYOND,7704,0.8999221183800623,0.844053318935754
2.0,WF1,PENETRATE_RECLAIM,5584,0.8816260744985673,0.8357413702024797
2.0,WF1,PENETRATE_CLOSE_AT,1894,0.9012671594508975,0.876646648434098
2.0,WF1,GAP_CROSS,3621,0.9204639602319801,0.8367352360236023
2.0,WF2,GAP_CROSS,3772,0.9077412513255567,0.7862300596197228
2.0,WF2,PENETRATE_CLOSE_BEYOND,7482,0.8811815022721198,0.8592397909157153
2.0,WF2,PENETRATE_RECLAIM,5539,0.8571944394294999,0.8167453832447383
2.0,WF2,PENETRATE_CLOSE_AT,1418,0.9273624823695346,0.8651777474251541
2.0,WF2,TOUCH_ONLY,5219,0.966660279747078,0.8415986010958841
2.0,WF3,PENETRATE_CLOSE_BEYOND,7497,0.8746165132719754,0.8276962414700547
2.0,WF3,PENETRATE_RECLAIM,5847,0.8471010774756286,0.811614974947956
2.0,WF3,GAP_CROSS,4197,0.9089826066237789,0.8453720159469715
2.0,WF3,TOUCH_ONLY,4608,0.9728732638888888,0.8252786080749498
2.0,WF3,PENETRATE_CLOSE_AT,1428,0.9159663865546218,0.8264717125382263
