risk_ATR,feature,mean_DELIVERY,mean_NO_DELIVERY,median_DELIVERY,median_NO_DELIVERY
0.25,nearest_above_R,1.945122815158546,2.7747496533875586,1.25,2.0608
0.25,nearest_below_R,1.9139184700836673,2.6983530825399757,1.2069,2.00145
0.25,penetration_depth_R,0.6183922984250861,0.6153800013864497,0.377358,0.4
0.25,n_targets_L,27.045419391127048,25.759466370890717,24.0,22.0
0.25,n_targets_S,52.47570835969908,55.29232523030471,41.0,42.0
0.25,nearest_opposing_ob_distance_R,17.516890341385505,20.12851532919472,0.4198,0.4545
0.25,nearest_same_direction_ob_distance_R,17.633022433885188,20.19897418271846,0.4545,0.5
0.25,atr0,97.88025876318596,116.1845966961907,13.0,14.0
0.5,nearest_above_R,1.9749935138973425,3.133733430905378,1.25,2.4242
0.5,nearest_below_R,1.9182755569080951,3.0644977218062177,1.25,2.4074
0.5,penetration_depth_R,0.5811381481030634,0.6556220878375312,0.3530995,0.434783
0.5,n_targets_L,27.155913978494624,25.027660540049922,24.0,21.0
0.5,n_targets_S,52.321261919253395,56.79725436805083,41.0,42.0
0.5,nearest_opposing_ob_distance_R,16.99457949197552,21.93473096467566,0.4348,0.4545
0.5,nearest_same_direction_ob_distance_R,17.137208323157815,21.933035436160583,0.4762,0.5
0.5,atr0,95.08119393941331,127.97269574405331,12.4,15.6
0.75,nearest_above_R,2.034879530889308,3.482519348677299,1.3462,2.7722
0.75,nearest_below_R,2.0030280158845466,3.3592028873396362,1.3333,2.7143
0.75,penetration_depth_R,0.5871697885289037,0.6737388291790023,0.357143,0.452679
0.75,n_targets_L,26.89331202479539,24.68799541591061,24.0,21.0
0.75,n_targets_S,52.74575039953508,57.76363289084137,41.0,42.0
0.75,nearest_opposing_ob_distance_R,17.750830476120687,22.457587255363027,0.4348,0.4545
0.75,nearest_same_direction_ob_distance_R,17.849516804766413,22.494526943285425,0.4878,0.5
0.75,atr0,94.89006798609172,141.6023209874793,12.8,16.4
1.0,nearest_above_R,2.098890388960039,3.7538388905182893,1.4286,3.0
1.0,nearest_below_R,2.0590727454563766,3.6247988645409976,1.4062,2.9508
1.0,penetration_depth_R,0.59642355270315,0.6741652818955043,0.37037,0.454545
1.0,n_targets_L,26.805577540183904,24.24619767880337,23.0,20.0
1.0,n_targets_S,52.97804095376513,58.67377550592869,41.0,42.0
1.0,nearest_opposing_ob_distance_R,17.915351659781525,23.470233287273075,0.4373,0.4545
1.0,nearest_same_direction_ob_distance_R,18.01245017221988,23.49116222290014,0.4808,0.5
1.0,atr0,96.94112656471611,150.39925597487306,13.0,17.0
1.5,nearest_above_R,2.197889951529418,4.307354967580004,1.5468,3.4659
1.5,nearest_below_R,2.164492772441373,4.083698765948546,1.5385,3.3808
1.5,penetration_depth_R,0.6050346429755622,0.6783477896534895,0.384615,0.458333
1.5,n_targets_L,26.588038017135553,23.745171860838038,23.0,19.0
1.5,n_targets_S,53.32551223154511,60.54158823119292,41.0,43.0
1.5,nearest_opposing_ob_distance_R,18.334273522828365,24.885993044033185,0.44,0.47
1.5,nearest_same_direction_ob_distance_R,18.427610013736473,24.87576290637467,0.4839,0.5036
1.5,atr0,100.24421691689837,167.69932807582464,13.0,18.0
2.0,nearest_above_R,2.2663265281377045,4.849874691491665,1.6176,3.8411
2.0,nearest_below_R,2.230669676184589,4.541656451612903,1.6026,3.7931
2.0,penetration_depth_R,0.6101895718599177,0.671920065706863,0.384615,0.461538
2.0,n_targets_L,26.483571479517842,23.12546005628924,23.0,19.0
2.0,n_targets_S,53.55660825943273,62.424875514180556,41.0,44.0
2.0,nearest_opposing_ob_distance_R,18.613209233031185,25.926709661477638,0.4412,0.47825
2.0,nearest_same_direction_ob_distance_R,18.70262961727069,25.88375545383207,0.4867,0.5
2.0,atr0,104.13386278130474,169.55617512721318,13.6,17.4
3.0,nearest_above_R,2.3548196937745374,6.061493325415677,1.7143,4.8422
3.0,nearest_below_R,2.3134635210319683,5.548442731591448,1.6837,4.7222
3.0,penetration_depth_R,0.6146668727762199,0.6508344472684087,0.38961,0.454545
3.0,n_targets_L,26.322434099831746,22.5270783847981,23.0,18.0
3.0,n_targets_S,53.89835109366237,65.77957244655582,42.0,46.0
3.0,nearest_opposing_ob_distance_R,18.840303223177333,29.777289365721995,0.4412,0.5018
3.0,nearest_same_direction_ob_distance_R,18.93114449750944,29.6316727402746,0.4866,0.5263
3.0,atr0,107.17548267779134,183.28134679073958,13.8,18.8
