symbol,liquidity_type,n_levels
AG,CANONICAL_EQH,1
AG,CANONICAL_EQL,8
AG,CONFIRMED_SWING_HIGH,10
AG,CONFIRMED_SWING_LOW,11
AL,CANONICAL_EQH,6
AL,CANONICAL_EQL,5
AL,CONFIRMED_SWING_HIGH,11
AL,CONFIRMED_SWING_LOW,11
AU,CANONICAL_EQH,8
AU,CANONICAL_EQL,5
AU,CONFIRMED_SWING_HIGH,10
AU,CONFIRMED_SWING_LOW,11
CF,CANONICAL_EQH,9
CF,CANONICAL_EQL,6
CF,CONFIRMED_SWING_HIGH,9
CF,CONFIRMED_SWING_LOW,10
CU,CANONICAL_EQH,7
CU,CANONICAL_EQL,10
CU,CONFIRMED_SWING_HIGH,11
CU,CONFIRMED_SWING_LOW,12
I,CANONICAL_EQH,6
I,CANONICAL_EQL,5
I,CONFIRMED_SWING_HIGH,9
I,CONFIRMED_SWING_LOW,10
M,CANONICAL_EQH,5
M,CANONICAL_EQL,5
M,CONFIRMED_SWING_HIGH,7
M,CONFIRMED_SWING_LOW,8
MA,CANONICAL_EQH,11
MA,CANONICAL_EQL,5
MA,CONFIRMED_SWING_HIGH,6
MA,CONFIRMED_SWING_LOW,7
NI,CANONICAL_EQH,7
NI,CANONICAL_EQL,12
NI,CONFIRMED_SWING_HIGH,13
NI,CONFIRMED_SWING_LOW,13
P,CANONICAL_EQH,2
P,CANONICAL_EQL,6
P,CONFIRMED_SWING_HIGH,7
P,CONFIRMED_SWING_LOW,8
RB,CANONICAL_EQH,6
RB,CANONICAL_EQL,4
RB,CONFIRMED_SWING_HIGH,7
RB,CONFIRMED_SWING_LOW,8
RU,CANONICAL_EQH,1
RU,CANONICAL_EQL,6
RU,CONFIRMED_SWING_HIGH,9
RU,CONFIRMED_SWING_LOW,10
SC,CANONICAL_EQH,2
SC,CANONICAL_EQL,6
SC,CONFIRMED_SWING_HIGH,11
SC,CONFIRMED_SWING_LOW,12
SN,CANONICAL_EQH,12
SN,CANONICAL_EQL,15
SN,CONFIRMED_SWING_HIGH,12
SN,CONFIRMED_SWING_LOW,12
TA,CANONICAL_EQH,2
TA,CANONICAL_EQL,5
TA,CONFIRMED_SWING_HIGH,10
TA,CONFIRMED_SWING_LOW,11
