symbol,component_1h_count,n_bars
AG,3,1199
AG,2,407
AL,3,803
AL,2,407
AL,1,396
AU,3,1199
AU,2,407
CF,2,803
CF,3,407
CU,3,803
CU,2,407
CU,1,396
I,2,803
I,3,407
M,2,803
M,3,407
MA,2,803
MA,3,407
NI,3,803
NI,2,407
NI,1,396
P,2,803
P,3,407
RB,2,803
RB,3,407
RU,2,803
RU,3,407
SC,3,1199
SC,2,407
SN,3,803
SN,2,407
SN,1,396
TA,2,803
TA,3,407
