wf,n_train,n_test,W0_R2,W1_R2,delta_R2,W0_Spearman,W1_Spearman,delta_Spearman,W0_MAE,W1_MAE
WF1,464766,543295,0.0009172134885617744,-0.03015394061779486,-0.031071154106356635,0.09750356183874574,0.08346773275562262,-0.01403582908312312,0.922868208707875,0.9437973159896581
WF2,1008061,527629,0.0023768605975308388,0.0015641815898304046,-0.0008126790077004342,0.11632443499486372,0.09987213217104796,-0.016452302823815768,0.9309450421929334,0.9333583896645223
WF3,1535690,514289,0.0018663472821883742,0.0016680822751063973,-0.00019826500708197692,0.1253570600993955,0.11915469484509986,-0.006202365254295655,0.9578507086267171,0.9557763783467711
