wf,rr_target,fill_model,fill_region,n_fills
WF1,0.25,STRICT_TRADE_THROUGH,R1,429
WF1,0.25,STRICT_TRADE_THROUGH,R2,689
WF1,0.25,STRICT_TRADE_THROUGH,R3,523
WF1,0.25,STRICT_TRADE_THROUGH,R4,684
WF1,0.25,TOUCH_FILL,R1,429
WF1,0.25,TOUCH_FILL,R2,689
WF1,0.25,TOUCH_FILL,R3,523
WF1,0.25,TOUCH_FILL,R4,684
WF1,0.5,STRICT_TRADE_THROUGH,R1,427
WF1,0.5,STRICT_TRADE_THROUGH,R2,638
WF1,0.5,STRICT_TRADE_THROUGH,R3,485
WF1,0.5,STRICT_TRADE_THROUGH,R4,644
WF1,0.5,TOUCH_FILL,R1,427
WF1,0.5,TOUCH_FILL,R2,639
WF1,0.5,TOUCH_FILL,R3,487
WF1,0.5,TOUCH_FILL,R4,650
WF1,0.75,STRICT_TRADE_THROUGH,R1,423
WF1,0.75,STRICT_TRADE_THROUGH,R2,581
WF1,0.75,STRICT_TRADE_THROUGH,R3,458
WF1,0.75,STRICT_TRADE_THROUGH,R4,594
WF1,0.75,TOUCH_FILL,R1,423
WF1,0.75,TOUCH_FILL,R2,583
WF1,0.75,TOUCH_FILL,R3,461
WF1,0.75,TOUCH_FILL,R4,595
WF1,1.0,STRICT_TRADE_THROUGH,R1,415
WF1,1.0,STRICT_TRADE_THROUGH,R2,504
WF1,1.0,STRICT_TRADE_THROUGH,R3,387
WF1,1.0,STRICT_TRADE_THROUGH,R4,539
WF1,1.0,TOUCH_FILL,R1,415
WF1,1.0,TOUCH_FILL,R2,523
WF1,1.0,TOUCH_FILL,R3,427
WF1,1.0,TOUCH_FILL,R4,553
WF1,1.25,STRICT_TRADE_THROUGH,R1,406
WF1,1.25,STRICT_TRADE_THROUGH,R2,436
WF1,1.25,STRICT_TRADE_THROUGH,R3,329
WF1,1.25,STRICT_TRADE_THROUGH,R4,465
WF1,1.25,TOUCH_FILL,R1,406
WF1,1.25,TOUCH_FILL,R2,442
WF1,1.25,TOUCH_FILL,R3,332
WF1,1.25,TOUCH_FILL,R4,477
