symbol,region,rr_target,fill_model,n_signals,filled_n,fill_rate_per_signal,miss_target_before_fill_rate,stop_invalid_before_fill_rate,expired_rate,ambiguity_rate,median_bars_to_fill,median_actual_RR,mean_actual_RR,filled_win_rate,filled_profit_factor,E_R_lower_filled,E_R_upper_filled,EV_R_lower_per_signal,EV_R_upper_per_signal,censor_worst_EV_per_signal
AG,R2,0.25,TOUCH_FILL,126,77,0.6111111111111112,0.0,0.0,0.0,0.12698412698412698,0.0,0.720164609053498,1.0069974176735512,0.6363636363636364,1.3749030945359422,0.13632839801307006,0.13632839801307006,0.07537529084925709,0.1130737035476698,0.07537529084925709
AG,R1,0.25,TOUCH_FILL,118,117,0.9915254237288136,0.0,0.0,0.0,0.0,0.0,2.6818181818181817,4.453669676701222,0.358695652173913,1.1723884034906942,0.11055343267337996,0.11055343267338003,0.08619420174534709,0.08619420174534709,-0.12567020503431392
AL,R4,0.25,TOUCH_FILL,140,108,0.7714285714285715,0.0,0.0,0.0,0.03571428571428571,0.0,0.8571428571428571,1.259426446736397,0.44339622641509435,0.6002657908700526,-0.22249356923270655,-0.12815394659119714,-0.16845941670476355,-0.0970308452761921,-0.18274513099047784
AL,R2,0.25,TOUCH_FILL,144,117,0.8125,0.020833333333333332,0.0,0.0,0.041666666666666664,0.0,1.0,1.3378160067728355,0.47,0.817146933101424,-0.09691212545624513,-0.09691212545624513,-0.06730008712239245,-0.05688342045572578,-0.18535564267794802
AL,R3,0.25,TOUCH_FILL,176,126,0.7159090909090909,0.0,0.0,0.0,0.05113636363636364,0.0,0.7071428571428571,0.8666055064864588,0.7661290322580645,2.6232659103348763,0.3796347693525113,0.3796347693525112,0.2674699511347239,0.2802540420438148,0.25610631477108753
AU,R2,0.25,TOUCH_FILL,111,89,0.8018018018018018,0.0,0.0,0.0,0.0,0.0,0.8133544921875,1.3161901687584678,0.6292134831460674,1.905328063251257,0.3356834391830503,0.3356834391830503,0.2691515863719953,0.2691515863719953,0.2691515863719953
CF,R2,0.25,TOUCH_FILL,262,173,0.6603053435114504,0.0,0.0,0.0,0.007633587786259542,0.0,1.0,1.2443910228855477,0.42441860465116277,0.7110273037085856,-0.16632730774912813,-0.16632730774912813,-0.10919197302614517,-0.10728357607958028,-0.11300876691927494
CF,R3,0.25,TOUCH_FILL,206,163,0.7912621359223301,0.0048543689320388345,0.0,0.0,0.03398058252427184,0.0,0.75,1.3024918929461644,0.5644171779141104,1.8943512399553557,0.38956403703576864,0.3972327486922103,0.308247272023448,0.3215967865865548,0.308247272023448
CF,R4,0.25,TOUCH_FILL,274,193,0.7043795620437956,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.1306547301411685,0.7616580310880829,3.282653852238247,0.5440522134868362,0.5440522134868362,0.38321925986481514,0.38321925986481514,0.38321925986481514
CU,R2,0.25,TOUCH_FILL,144,98,0.6805555555555556,0.013888888888888888,0.0,0.0,0.027777777777777776,0.0,0.6896551724137931,0.917834569521797,0.5625,0.7806205764440863,-0.09597849780571222,-0.09597849780571222,-0.06398566520380815,-0.0570412207593637,-0.07787455409269703
CU,R4,0.25,TOUCH_FILL,163,124,0.7607361963190185,0.024539877300613498,0.0,0.0,0.006134969325153374,0.0,0.6111111111111112,0.7381433811100592,0.62,1.0250554034769899,0.009521053321256167,0.009521053321256167,0.005841137006905619,0.007374879338193962,-0.14139812679677535
CU,R3,0.25,TOUCH_FILL,140,122,0.8714285714285714,0.0,0.0,0.0,0.007142857142857143,0.0,0.4516129032258405,0.7135323051570673,0.680327868852459,1.505967575381349,0.16174373311370993,0.17403881508092306,0.14094811028480436,0.15166239599909007,0.14094811028480436
I,R3,0.25,TOUCH_FILL,324,244,0.7530864197530864,0.0,0.0,0.0,0.033950617283950615,0.0,0.7638888888889386,0.9929569406003865,0.5352697095435685,0.8750331761492411,-0.058075868345580886,-0.05185180195553916,-0.043198408244706755,-0.0308527292323609,-0.052457667503966014
I,R2,0.25,TOUCH_FILL,354,224,0.632768361581921,0.0,0.0,0.0,0.03672316384180791,0.0,1.0,1.2947175840033025,0.33035714285714285,0.3887089947089954,-0.40934665532879766,-0.40265022675736883,-0.2590216124114426,-0.2463097480046628,-0.2590216124114426
I,R4,0.25,TOUCH_FILL,349,266,0.7621776504297995,0.008595988538681949,0.0,0.0,0.022922636103151862,0.0,0.8,1.1878804153240028,0.6224899598393574,1.8531155015196932,0.32205966724036605,0.3220596672403661,0.2297789602947024,0.23550961932049036,0.18106835857550468
M,R2,0.25,TOUCH_FILL,286,206,0.7202797202797203,0.0,0.0,0.0,0.024475524475524476,0.0,0.6666666666666666,1.0491634642405347,0.45145631067961167,0.5931252737082968,-0.22318856345127405,-0.22318856345127405,-0.16075819605231628,-0.15463931493343516,-0.16075819605231628
M,R4,0.25,TOUCH_FILL,191,133,0.6963350785340314,0.02617801047120419,0.0,0.0,0.02617801047120419,0.0,0.75,1.524605302800822,0.5037593984962406,0.9945788218515524,-0.0026902087052446647,-0.0026902087052446647,-0.0018732866900394857,0.004671215927761561,-0.0018732866900394857
M,R3,0.25,TOUCH_FILL,232,162,0.6982758620689655,0.01293103448275862,0.0,0.0,0.03017241379310345,0.0,0.7142857142857143,0.9469456212511654,0.7888198757763976,3.22118494250847,0.46907011208253396,0.48459806239308945,0.32551848295382746,0.3427598622641698,0.32120813812624127
MA,R3,0.25,TOUCH_FILL,143,100,0.6993006993006993,0.027972027972027972,0.0,0.0,0.04195804195804196,0.0,1.1428571428571428,1.6805958987669498,0.39,0.5672683873503538,-0.26396628371628417,-0.26396628371628417,-0.18459180679460427,-0.17410229630509375,-0.18459180679460427
MA,R4,0.25,TOUCH_FILL,147,118,0.8027210884353742,0.0,0.0,0.0,0.027210884353741496,0.0,0.861904761904762,1.9916373276265296,0.415929203539823,0.6099188310813426,-0.22783501901443715,-0.21161083022387667,-0.17513848400429524,-0.1575647878591705,-0.2091520894464721
MA,R2,0.25,TOUCH_FILL,212,148,0.6981132075471698,0.03773584905660377,0.0,0.0,0.03773584905660377,0.0,0.6055555555555556,0.938755062910468,0.6689655172413793,1.2921092796092741,0.09669824428444933,0.09669824428444933,0.06613795010021299,0.07557191236436392,0.05198700670398658
NI,R4,0.25,TOUCH_FILL,111,76,0.6846846846846847,0.0,0.0,0.0,0.0990990990990991,0.0,0.519999999999961,0.8709013406809671,0.6721311475409836,0.9853667657971252,-0.0047977817058605975,-0.004797781705860605,-0.0026366187752927647,0.022138155999482007,-0.1377717539104279
NI,R2,0.25,TOUCH_FILL,111,69,0.6216216216216216,0.0,0.0,0.0,0.02702702702702703,0.0,0.6195652173913043,0.9287365769553446,0.5074626865671642,1.0377112765376624,0.018574210831982917,0.0872309272498934,0.011211460592277983,0.057157406538223925,-0.006806557425740035
P,R2,0.25,TOUCH_FILL,170,131,0.7705882352941177,0.0,0.0,0.0,0.047058823529411764,0.0,1.1428571428571428,1.3851954006153642,0.7480916030534351,3.3562896186697593,0.5935691405809318,0.5935691405809318,0.45739739656530626,0.46916210244765916,0.45739739656530626
P,R4,0.25,TOUCH_FILL,132,105,0.7954545454545454,0.0,0.0,0.0,0.007575757575757576,0.0,0.6666666666666666,1.034242555067656,0.7047619047619048,1.8000687960504063,0.23621078740535809,0.23621078740535809,0.1878949445269894,0.1897888839209288,0.1878949445269894
