wf,rr_target,fill_model,n_signals,filled_n,fill_rate_per_signal,R_lower_sum,R_upper_sum,censored_n,EV_R_lower_per_signal,EV_R_upper_per_signal,censor_worst_EV_per_signal,single_attempt_EV_per_signal,incremental_EV_vs_single,delta_EV_vs_E1_market,recovery_rate
WF1,0.25,TOUCH_FILL,3160,2325,0.7357594936708861,115.7317321154317,134.33173211543112,100,0.03662396585931383,0.04251004180868073,0.004978396239060664,0.03611803330641259,0.0005059325529012393,-0.0053977751761298265,0.7357594936708861
WF2,0.25,TOUCH_FILL,2847,2176,0.7643133122585177,129.4158865493212,134.24673919755725,41,0.04545693240229055,0.04715375454778969,0.03105580841212546,0.04413045871481766,0.0013264736874728858,-0.002061976508414623,0.7643133122585177
WF3,0.25,TOUCH_FILL,3008,2393,0.7955452127659575,217.3393425690728,241.20600923573957,98,0.07225377080088857,0.08018816796400917,0.03967398356684602,0.07349183883903472,-0.0012380680381461479,-0.004121030516747559,0.7955452127659575
WF1,0.25,STRICT_TRADE_THROUGH,3160,2325,0.7357594936708861,115.7317321154317,134.33173211543112,100,0.03662396585931383,0.04251004180868073,0.004978396239060664,0.03611803330641259,0.0005059325529012393,-0.0053977751761298265,0.7357594936708861
WF2,0.25,STRICT_TRADE_THROUGH,2847,2176,0.7643133122585177,129.4158865493212,134.24673919755725,41,0.04545693240229055,0.04715375454778969,0.03105580841212546,0.04413045871481766,0.0013264736874728858,-0.002061976508414623,0.7643133122585177
WF3,0.25,STRICT_TRADE_THROUGH,3008,2393,0.7955452127659575,217.3393425690728,241.20600923573957,98,0.07225377080088857,0.08018816796400917,0.03967398356684602,0.07349183883903472,-0.0012380680381461479,-0.004121030516747559,0.7955452127659575
WF1,0.5,TOUCH_FILL,3160,2203,0.6971518987341773,101.44370280880968,120.0437028088091,100,0.03210243759772458,0.037988513547091485,0.0004568679774714162,0.03033371054418735,0.0017687270535372314,-0.009919303437719074,0.6971518987341773
WF2,0.5,TOUCH_FILL,2847,2019,0.7091675447839831,122.4472107738322,127.52806342206831,41,0.043009206453752086,0.0447938403308986,0.028608082463587002,0.03892516264368083,0.004084043810071256,-0.004509702456953084,0.7091675447839831
WF3,0.5,TOUCH_FILL,3008,2228,0.7406914893617021,196.68722603644707,220.55389270311386,98,0.06538804057062735,0.07332243773374796,0.0328082533365848,0.06584223402870633,-0.00045419345807898304,-0.010986760747008786,0.7406914893617021
WF1,0.5,STRICT_TRADE_THROUGH,3160,2194,0.6943037974683545,96.94370280880968,115.5437028088091,100,0.03067838696481319,0.0365644629141801,-0.0009671826554399762,0.028909659911275958,0.0017687270535372314,-0.011343354070630467,0.6943037974683545
WF2,0.5,STRICT_TRADE_THROUGH,2847,2014,0.7074113101510362,119.9472107738322,125.02806342206831,41,0.04213108913727861,0.04391572301442512,0.02772996514711352,0.038047045327207346,0.0040840438100712625,-0.005387819773426561,0.7074113101510362
WF3,0.5,STRICT_TRADE_THROUGH,3008,2224,0.7393617021276596,194.68722603644707,218.55389270311386,98,0.06472314695360608,0.07265754411672669,0.03214335971956352,0.06517734041168505,-0.00045419345807896916,-0.011651654364030054,0.7393617021276596
WF1,0.75,TOUCH_FILL,3160,2062,0.6525316455696203,108.7112925127144,127.56129251271403,100,0.0344023077571881,0.04036749763060571,0.0027567381369349346,0.03112699130149192,0.0032753164556961756,-0.007619433278255559,0.6525316455696203
WF2,0.75,TOUCH_FILL,2847,1882,0.6610467158412364,124.9511043886401,130.33195703687622,41,0.04388869139046017,0.0457786993455835,0.029487567400295085,0.037074501014625984,0.006814190375834188,-0.003630217520244998,0.6610467158412364
WF3,0.75,TOUCH_FILL,3008,2028,0.6742021276595744,182.64382258634953,216.31048925301639,98,0.06071935591301514,0.07191173179954002,0.028139568678972583,0.05849196229599396,0.0022273936170211783,-0.015655445404620993,0.6742021276595744
WF1,0.75,STRICT_TRADE_THROUGH,3160,2056,0.6506329113924051,109.4612925127144,128.31129251271403,100,0.03463964952934,0.04060483940275761,0.0029940799090868333,0.031047877377441288,0.003591772151898709,-0.007382091506103659,0.6506329113924051
WF2,0.75,STRICT_TRADE_THROUGH,2847,1882,0.6610467158412364,124.9511043886401,130.33195703687622,41,0.04388869139046017,0.0457786993455835,0.029487567400295085,0.037074501014625984,0.006814190375834188,-0.003630217520244998,0.6610467158412364
WF3,0.75,STRICT_TRADE_THROUGH,3008,2006,0.6668882978723404,166.14382258634953,199.81048925301639,98,0.0552339835725896,0.06642635945911449,0.02265419633854705,0.05350526016833438,0.001728723404255221,-0.02114081774504653,0.6668882978723404
WF1,1.0,TOUCH_FILL,3160,1918,0.6069620253164557,120.3325293280025,139.43252932800192,94,0.038079914344304584,0.04412421814177276,0.008333078901266612,0.034282445989874205,0.003797468354430379,-0.003941826691139072,0.6069620253164557
WF2,1.0,TOUCH_FILL,2847,1768,0.6210045662100456,128.77878017881528,134.77878017881528,41,0.04523315074773983,0.04734063230727618,0.030832026757574738,0.03617967295983884,0.009053477787900985,-0.0022857581629653415,0.6210045662100456
WF3,1.0,TOUCH_FILL,3008,1836,0.6103723404255319,172.00093233661804,204.33426566995138,92,0.05718116101616291,0.06793027449134022,0.026596054633184187,0.054787543994886306,0.002393617021276606,-0.01919364030147322,0.6103723404255319
WF1,1.0,STRICT_TRADE_THROUGH,3160,1845,0.5838607594936709,61.33252932800249,78.43252932800192,94,0.01940902826835522,0.024820420673418327,-0.010337807174682757,0.017826749787342555,0.0015822784810126632,-0.022612712767088438,0.5838607594936709
WF2,1.0,STRICT_TRADE_THROUGH,2847,1723,0.605198454513523,101.97878017881527,107.97878017881527,41,0.03581973311514411,0.03792721467468046,0.021418609124979022,0.02529101823556768,0.01052871487957643,-0.01169917579556106,0.605198454513523
WF3,1.0,STRICT_TRADE_THROUGH,3008,1788,0.5944148936170213,139.00093233661804,171.33426566995138,91,0.046210416335311845,0.05695952981048916,0.015957756760843763,0.044149246122545886,0.0020611702127659587,-0.030164384982324287,0.5944148936170213
WF1,1.25,TOUCH_FILL,3160,1657,0.524367088607595,53.31477209251731,71.66477209251777,91,0.01687176332041687,0.02267872534573347,-0.011925705034013509,0.014102775978644773,0.002768987341772099,-0.025149977715026785,0.524367088607595
WF2,1.25,TOUCH_FILL,2847,1606,0.5641025641025641,131.4382131788297,138.18821317882959,41,0.0461672684154653,0.048538185169943654,0.03176614442530021,0.027630123609650833,0.018537144805814466,-0.0013516404952398711,0.5641025641025641
WF3,1.25,TOUCH_FILL,3008,1701,0.5654920212765957,217.50243490841964,246.0857682417532,82,0.07230799032859696,0.08181042827185944,0.045047352030724616,0.0650772722434907,0.0072307180851062525,-0.004066810989039174,0.5654920212765957
