wf,rr_target,fill_model,attempts_n,n_contacts
WF1,0.25,STRICT_TRADE_THROUGH,1,3098
WF1,0.25,STRICT_TRADE_THROUGH,2,62
WF1,0.25,TOUCH_FILL,1,3098
WF1,0.25,TOUCH_FILL,2,62
WF1,0.5,STRICT_TRADE_THROUGH,1,3096
WF1,0.5,STRICT_TRADE_THROUGH,2,64
WF1,0.5,TOUCH_FILL,1,3096
WF1,0.5,TOUCH_FILL,2,64
WF1,0.75,STRICT_TRADE_THROUGH,1,3091
WF1,0.75,STRICT_TRADE_THROUGH,2,69
WF1,0.75,TOUCH_FILL,1,3091
WF1,0.75,TOUCH_FILL,2,69
WF1,1.0,STRICT_TRADE_THROUGH,1,3056
WF1,1.0,STRICT_TRADE_THROUGH,2,104
WF1,1.0,TOUCH_FILL,1,3067
WF1,1.0,TOUCH_FILL,2,93
WF1,1.25,STRICT_TRADE_THROUGH,1,3041
WF1,1.25,STRICT_TRADE_THROUGH,2,119
WF1,1.25,TOUCH_FILL,1,3044
WF1,1.25,TOUCH_FILL,2,116
WF1,1.5,STRICT_TRADE_THROUGH,1,3030
WF1,1.5,STRICT_TRADE_THROUGH,2,130
WF1,1.5,TOUCH_FILL,1,3030
WF1,1.5,TOUCH_FILL,2,130
WF1,2.0,STRICT_TRADE_THROUGH,1,3016
WF1,2.0,STRICT_TRADE_THROUGH,2,144
WF1,2.0,TOUCH_FILL,1,3022
WF1,2.0,TOUCH_FILL,2,138
WF1,3.0,STRICT_TRADE_THROUGH,1,3009
WF1,3.0,STRICT_TRADE_THROUGH,2,151
WF1,3.0,TOUCH_FILL,1,3009
WF1,3.0,TOUCH_FILL,2,151
WF2,0.25,STRICT_TRADE_THROUGH,1,2801
WF2,0.25,STRICT_TRADE_THROUGH,2,46
WF2,0.25,TOUCH_FILL,1,2801
WF2,0.25,TOUCH_FILL,2,46
WF2,0.5,STRICT_TRADE_THROUGH,1,2794
WF2,0.5,STRICT_TRADE_THROUGH,2,53
WF2,0.5,TOUCH_FILL,1,2796
WF2,0.5,TOUCH_FILL,2,51
WF2,0.75,STRICT_TRADE_THROUGH,1,2771
WF2,0.75,STRICT_TRADE_THROUGH,2,76
WF2,0.75,TOUCH_FILL,1,2771
WF2,0.75,TOUCH_FILL,2,76
WF2,1.0,STRICT_TRADE_THROUGH,1,2764
WF2,1.0,STRICT_TRADE_THROUGH,2,83
WF2,1.0,TOUCH_FILL,1,2766
WF2,1.0,TOUCH_FILL,2,81
WF2,1.25,STRICT_TRADE_THROUGH,1,2758
WF2,1.25,STRICT_TRADE_THROUGH,2,89
WF2,1.25,TOUCH_FILL,1,2762
WF2,1.25,TOUCH_FILL,2,85
WF2,1.5,STRICT_TRADE_THROUGH,1,2745
WF2,1.5,STRICT_TRADE_THROUGH,2,102
WF2,1.5,TOUCH_FILL,1,2745
WF2,1.5,TOUCH_FILL,2,102
WF2,2.0,STRICT_TRADE_THROUGH,1,2725
WF2,2.0,STRICT_TRADE_THROUGH,2,122
WF2,2.0,TOUCH_FILL,1,2734
WF2,2.0,TOUCH_FILL,2,113
WF2,3.0,STRICT_TRADE_THROUGH,1,2710
WF2,3.0,STRICT_TRADE_THROUGH,2,137
WF2,3.0,TOUCH_FILL,1,2715
WF2,3.0,TOUCH_FILL,2,132
WF3,0.25,STRICT_TRADE_THROUGH,1,2965
WF3,0.25,STRICT_TRADE_THROUGH,2,43
WF3,0.25,TOUCH_FILL,1,2965
WF3,0.25,TOUCH_FILL,2,43
WF3,0.5,STRICT_TRADE_THROUGH,1,2963
WF3,0.5,STRICT_TRADE_THROUGH,2,45
WF3,0.5,TOUCH_FILL,1,2963
WF3,0.5,TOUCH_FILL,2,45
WF3,0.75,STRICT_TRADE_THROUGH,1,2955
WF3,0.75,STRICT_TRADE_THROUGH,2,53
WF3,0.75,TOUCH_FILL,1,2955
WF3,0.75,TOUCH_FILL,2,53
WF3,1.0,STRICT_TRADE_THROUGH,1,2944
WF3,1.0,STRICT_TRADE_THROUGH,2,64
WF3,1.0,TOUCH_FILL,1,2945
WF3,1.0,TOUCH_FILL,2,63
WF3,1.25,STRICT_TRADE_THROUGH,1,2929
WF3,1.25,STRICT_TRADE_THROUGH,2,79
WF3,1.25,TOUCH_FILL,1,2934
WF3,1.25,TOUCH_FILL,2,74
WF3,1.5,STRICT_TRADE_THROUGH,1,2912
WF3,1.5,STRICT_TRADE_THROUGH,2,96
WF3,1.5,TOUCH_FILL,1,2913
WF3,1.5,TOUCH_FILL,2,95
WF3,2.0,STRICT_TRADE_THROUGH,1,2908
WF3,2.0,STRICT_TRADE_THROUGH,2,100
WF3,2.0,TOUCH_FILL,1,2908
WF3,2.0,TOUCH_FILL,2,100
WF3,3.0,STRICT_TRADE_THROUGH,1,2887
WF3,3.0,STRICT_TRADE_THROUGH,2,121
WF3,3.0,TOUCH_FILL,1,2889
WF3,3.0,TOUCH_FILL,2,119
