wf,rr_target,fill_model,n_signals,filled_n,fill_rate_per_signal,miss_target_before_fill_rate,stop_invalid_before_fill_rate,expired_rate,ambiguity_rate,median_bars_to_fill,median_actual_RR,mean_actual_RR,filled_win_rate,filled_profit_factor,E_R_lower_filled,E_R_upper_filled,EV_R_lower_per_signal,EV_R_upper_per_signal,censor_worst_EV_per_signal,delta_EV_vs_E1_market
WF1,0.25,TOUCH_FILL,3160,2282,0.7221518987341772,0.009810126582278481,0.0,0.0,0.03196202531645569,0.0,1.0,1.5861421314915547,0.5146654445462878,1.1077743014620054,0.05230659268939678,0.060830882331926316,0.036118033306412584,0.04936170419248835,0.0044724636861594195,-0.005903707729031073
WF2,0.25,TOUCH_FILL,2847,2149,0.7548296452406041,0.01053740779768177,0.0,0.0,0.02423603793466807,0.0,1.0,1.6227834395036762,0.5147058823529411,1.1228146783588326,0.05960124096825706,0.061892916797591055,0.04413045871481766,0.05162285514904178,0.029729334724652577,-0.003388450195887509
WF3,0.25,TOUCH_FILL,3008,2364,0.785904255319149,0.005319148936170213,0.0,0.0,0.025930851063829786,0.0,0.8571428571428571,1.5675910223174871,0.5397175639894086,1.2129083904389422,0.09799799259833031,0.10853050215996611,0.0734918388390347,0.08716094344896383,0.04091205160499216,-0.002882962478601425
WF1,0.25,STRICT_TRADE_THROUGH,3160,2282,0.7221518987341772,0.01170886075949367,0.0,0.0,0.030063291139240507,0.0,1.0,1.5861421314915547,0.5146654445462878,1.1077743014620054,0.05230659268939678,0.060830882331926316,0.036118033306412584,0.04888702064818455,0.0044724636861594195,-0.005903707729031073
WF2,0.25,STRICT_TRADE_THROUGH,2847,2149,0.7548296452406041,0.01053740779768177,0.0,0.0,0.02423603793466807,0.0,1.0,1.6227834395036762,0.5147058823529411,1.1228146783588326,0.05960124096825706,0.061892916797591055,0.04413045871481766,0.05162285514904178,0.029729334724652577,-0.003388450195887509
WF3,0.25,STRICT_TRADE_THROUGH,3008,2364,0.785904255319149,0.006316489361702127,0.0,0.0,0.024933510638297872,0.0,0.8571428571428571,1.5675910223174871,0.5397175639894086,1.2129083904389422,0.09799799259833031,0.10853050215996611,0.0734918388390347,0.08691160834258085,0.04091205160499216,-0.002882962478601425
WF1,0.5,TOUCH_FILL,3160,2159,0.6832278481012658,0.04810126582278481,0.0,0.0012658227848101266,0.03132911392405063,0.0,1.0000000000003233,1.6739091016595198,0.48712967459932005,1.0926652701890454,0.047525267275197666,0.05655877868850483,0.030333710544187344,0.050934976366971974,-0.0013118590760658217,-0.011688030491256312
WF2,0.5,TOUCH_FILL,2847,2002,0.7031963470319634,0.045310853530031614,0.0,0.002107481559536354,0.03898840885142255,0.0,1.0057471264367817,1.7356254085353573,0.4864864864864865,1.1209731261634155,0.062121335056888986,0.06471228490300635,0.03892516264368083,0.061608988652896185,0.02452403865351574,-0.00859374626702434
WF3,0.5,TOUCH_FILL,3008,2198,0.730718085106383,0.04853723404255319,0.0,0.011968085106382979,0.025930851063829786,0.0,0.9090909090909091,1.6829082621026024,0.5047619047619047,1.1942821538061046,0.0962159237896898,0.10758100315476922,0.06584223402870631,0.08541226948969925,0.03326244679466375,-0.010532567288929817
WF1,0.5,STRICT_TRADE_THROUGH,3160,2150,0.680379746835443,0.05569620253164557,0.0,0.0018987341772151898,0.025949367088607594,0.0,1.0512820512820513,1.67882313975949,0.4848780487804878,1.0884039065526818,0.04553879283884489,0.054611963570551945,0.02890965991127595,0.04682105231633906,-0.002735909708977214,-0.013112081124167705
WF2,0.5,STRICT_TRADE_THROUGH,2847,1997,0.7014401123990165,0.05233579206181946,0.0,0.002107481559536354,0.03371970495258166,0.0,1.0057471264367817,1.7387191126128116,0.48517382413087934,1.1184905045149547,0.06100201331623689,0.06359958624478293,0.038047045327207346,0.05809651938700226,0.02364592133704226,-0.009471863583497823
WF3,0.5,STRICT_TRADE_THROUGH,3008,2194,0.7293882978723404,0.0511968085106383,0.0,0.011968085106382979,0.024601063829787235,0.0,0.9090909090909091,1.6850648860991433,0.5038167938931297,1.1923590768830277,0.09544534349157852,0.10683211193941575,0.06517734041168503,0.0840824822556567,0.03259755317764248,-0.011197460905951098
WF1,0.75,TOUCH_FILL,3160,2023,0.6401898734177215,0.07531645569620253,0.0,0.012974683544303797,0.035443037974683546,0.0,1.117655506687016,1.799092939283043,0.4581383255330213,1.103993562872087,0.056350126111655977,0.06615251820733961,0.031126991301491908,0.06256686471921331,-0.000518578318761257,-0.010894749733951749
WF2,0.75,TOUCH_FILL,2847,1861,0.6536705303828592,0.08956796628029505,0.0,0.012996136283807516,0.033368458025992274,0.0,1.1578947368421053,1.8788534532108132,0.4554945054945055,1.127700408061191,0.06953357383991218,0.07249008628399795,0.03707450101462597,0.06504459326901167,0.022673377024460886,-0.0104444078960792
WF3,0.75,TOUCH_FILL,3008,2001,0.6652260638297872,0.0834441489361702,0.0,0.04454787234042553,0.023936170212765957,0.0,1.052618053324767,1.8538255930577203,0.4598003152916448,1.1750426289750486,0.09455797298284278,0.10765133434210014,0.05849196229599396,0.08206798179954009,0.025912175061951405,-0.017882839021642172
WF1,0.75,STRICT_TRADE_THROUGH,3160,2017,0.6382911392405063,0.07816455696202532,0.0,0.013924050632911392,0.03354430379746835,0.0,1.117655506687016,1.802213691705303,0.45800730307772564,1.1050156809554519,0.05691773214017446,0.06675080464930312,0.031047877377441274,0.06114281408630192,-0.0005976922428118899,-0.010973863658002382
WF2,0.75,STRICT_TRADE_THROUGH,2847,1861,0.6536705303828592,0.09027046013347383,0.0,0.012996136283807516,0.032665964172813484,0.0,1.1578947368421053,1.8788534532108132,0.4554945054945055,1.127700408061191,0.06953357383991218,0.07249008628399795,0.03707450101462597,0.06451772287912759,0.022673377024460886,-0.0104444078960792
WF3,0.75,STRICT_TRADE_THROUGH,3008,1981,0.6585771276595744,0.08577127659574468,0.0,0.05053191489361702,0.022273936170212765,0.0,1.0769363193890167,1.8649697181769302,0.45406266595857675,1.1604511892863325,0.08759629452275616,0.10082872504143206,0.05350526016833437,0.07583460413996561,0.02092547293429182,-0.02286954114930176
WF1,1.0,TOUCH_FILL,3160,1879,0.5946202531645569,0.10031645569620253,0.0,0.040822784810126585,0.028164556962025317,0.0,1.25,1.9595947433828875,0.426890756302521,1.120559657212124,0.0690938539652675,0.079794134077312,0.034282445989874205,0.06595966117974744,0.004535610546836228,-0.007739295045569451
