wf,rr_target,fill_model,status,n
WF1,1.0,STRICT_TRADE_THROUGH,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,15
WF1,1.0,STRICT_TRADE_THROUGH,MISS_TARGET_BEFORE_FILL,353
WF1,1.0,STRICT_TRADE_THROUGH,STOP_INVALIDATED_BEFORE_ENTRY,119
WF1,1.0,STRICT_TRADE_THROUGH,TARGET_CONSUMED_BEFORE_ENTRY,608
WF1,1.0,TOUCH_FILL,AMBIGUOUS_FILL_STOP_ORDER,15
WF1,1.0,TOUCH_FILL,AMBIGUOUS_FILL_TARGET_ORDER,66
WF1,1.0,TOUCH_FILL,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,12
WF1,1.0,TOUCH_FILL,EXPIRED_UNFILLED,129
WF1,1.0,TOUCH_FILL,FILLED,681
WF1,1.0,TOUCH_FILL,FILLED_AT_OPEN,1198
WF1,1.0,TOUCH_FILL,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,15
WF1,1.0,TOUCH_FILL,MISS_TARGET_BEFORE_FILL,317
WF1,1.0,TOUCH_FILL,STOP_INVALIDATED_BEFORE_ENTRY,119
WF1,1.0,TOUCH_FILL,TARGET_CONSUMED_BEFORE_ENTRY,608
WF1,1.25,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_STOP_ORDER,26
WF1,1.25,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_TARGET_ORDER,46
WF1,1.25,STRICT_TRADE_THROUGH,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,12
WF1,1.25,STRICT_TRADE_THROUGH,EXPIRED_UNFILLED,330
WF1,1.25,STRICT_TRADE_THROUGH,FILLED,656
WF1,1.25,STRICT_TRADE_THROUGH,FILLED_AT_OPEN,950
WF1,1.25,STRICT_TRADE_THROUGH,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,15
WF1,1.25,STRICT_TRADE_THROUGH,MISS_TARGET_BEFORE_FILL,398
WF1,1.25,STRICT_TRADE_THROUGH,STOP_INVALIDATED_BEFORE_ENTRY,119
WF1,1.25,STRICT_TRADE_THROUGH,TARGET_CONSUMED_BEFORE_ENTRY,608
WF1,1.25,TOUCH_FILL,AMBIGUOUS_FILL_STOP_ORDER,26
WF1,1.25,TOUCH_FILL,AMBIGUOUS_FILL_TARGET_ORDER,53
WF1,1.25,TOUCH_FILL,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,12
WF1,1.25,TOUCH_FILL,EXPIRED_UNFILLED,317
WF1,1.25,TOUCH_FILL,FILLED,672
WF1,1.25,TOUCH_FILL,FILLED_AT_OPEN,950
WF1,1.25,TOUCH_FILL,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,15
WF1,1.25,TOUCH_FILL,MISS_TARGET_BEFORE_FILL,388
WF1,1.25,TOUCH_FILL,STOP_INVALIDATED_BEFORE_ENTRY,119
WF1,1.25,TOUCH_FILL,TARGET_CONSUMED_BEFORE_ENTRY,608
WF1,1.5,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_STOP_ORDER,38
WF1,1.5,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_TARGET_ORDER,36
WF1,1.5,STRICT_TRADE_THROUGH,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,12
WF1,1.5,STRICT_TRADE_THROUGH,EXPIRED_UNFILLED,420
WF1,1.5,STRICT_TRADE_THROUGH,FILLED,705
WF1,1.5,STRICT_TRADE_THROUGH,FILLED_AT_OPEN,785
WF1,1.5,STRICT_TRADE_THROUGH,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,15
WF1,1.5,STRICT_TRADE_THROUGH,MISS_TARGET_BEFORE_FILL,422
WF1,1.5,STRICT_TRADE_THROUGH,STOP_INVALIDATED_BEFORE_ENTRY,119
WF1,1.5,STRICT_TRADE_THROUGH,TARGET_CONSUMED_BEFORE_ENTRY,608
WF1,1.5,TOUCH_FILL,AMBIGUOUS_FILL_STOP_ORDER,38
WF1,1.5,TOUCH_FILL,AMBIGUOUS_FILL_TARGET_ORDER,38
WF1,1.5,TOUCH_FILL,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,12
WF1,1.5,TOUCH_FILL,EXPIRED_UNFILLED,396
WF1,1.5,TOUCH_FILL,FILLED,732
WF1,1.5,TOUCH_FILL,FILLED_AT_OPEN,785
WF1,1.5,TOUCH_FILL,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,15
WF1,1.5,TOUCH_FILL,MISS_TARGET_BEFORE_FILL,417
WF1,1.5,TOUCH_FILL,STOP_INVALIDATED_BEFORE_ENTRY,119
WF1,1.5,TOUCH_FILL,TARGET_CONSUMED_BEFORE_ENTRY,608
WF1,2.0,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_STOP_ORDER,64
WF1,2.0,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_TARGET_ORDER,25
WF1,2.0,STRICT_TRADE_THROUGH,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,12
WF1,2.0,STRICT_TRADE_THROUGH,EXPIRED_UNFILLED,636
WF1,2.0,STRICT_TRADE_THROUGH,FILLED,643
WF1,2.0,STRICT_TRADE_THROUGH,FILLED_AT_OPEN,574
WF1,2.0,STRICT_TRADE_THROUGH,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,15
WF1,2.0,STRICT_TRADE_THROUGH,MISS_TARGET_BEFORE_FILL,464
WF1,2.0,STRICT_TRADE_THROUGH,STOP_INVALIDATED_BEFORE_ENTRY,119
WF1,2.0,STRICT_TRADE_THROUGH,TARGET_CONSUMED_BEFORE_ENTRY,608
WF1,2.0,TOUCH_FILL,AMBIGUOUS_FILL_STOP_ORDER,54
WF1,2.0,TOUCH_FILL,AMBIGUOUS_FILL_TARGET_ORDER,32
WF1,2.0,TOUCH_FILL,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,12
WF1,2.0,TOUCH_FILL,EXPIRED_UNFILLED,583
WF1,2.0,TOUCH_FILL,FILLED,714
WF1,2.0,TOUCH_FILL,FILLED_AT_OPEN,574
WF1,2.0,TOUCH_FILL,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,15
WF1,2.0,TOUCH_FILL,MISS_TARGET_BEFORE_FILL,449
WF1,2.0,TOUCH_FILL,STOP_INVALIDATED_BEFORE_ENTRY,119
WF1,2.0,TOUCH_FILL,TARGET_CONSUMED_BEFORE_ENTRY,608
WF1,3.0,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_STOP_ORDER,129
WF1,3.0,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_TARGET_ORDER,9
WF1,3.0,STRICT_TRADE_THROUGH,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,12
WF1,3.0,STRICT_TRADE_THROUGH,EXPIRED_UNFILLED,919
WF1,3.0,STRICT_TRADE_THROUGH,FILLED,548
WF1,3.0,STRICT_TRADE_THROUGH,FILLED_AT_OPEN,311
WF1,3.0,STRICT_TRADE_THROUGH,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,15
WF1,3.0,STRICT_TRADE_THROUGH,MISS_TARGET_BEFORE_FILL,490
WF1,3.0,STRICT_TRADE_THROUGH,STOP_INVALIDATED_BEFORE_ENTRY,119
WF1,3.0,STRICT_TRADE_THROUGH,TARGET_CONSUMED_BEFORE_ENTRY,608
WF1,3.0,TOUCH_FILL,AMBIGUOUS_FILL_STOP_ORDER,126
WF1,3.0,TOUCH_FILL,AMBIGUOUS_FILL_TARGET_ORDER,16
WF1,3.0,TOUCH_FILL,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,12
WF1,3.0,TOUCH_FILL,EXPIRED_UNFILLED,872
WF1,3.0,TOUCH_FILL,FILLED,599
WF1,3.0,TOUCH_FILL,FILLED_AT_OPEN,311
WF1,3.0,TOUCH_FILL,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,15
WF1,3.0,TOUCH_FILL,MISS_TARGET_BEFORE_FILL,482
WF1,3.0,TOUCH_FILL,STOP_INVALIDATED_BEFORE_ENTRY,119
WF1,3.0,TOUCH_FILL,TARGET_CONSUMED_BEFORE_ENTRY,608
WF2,0.25,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_TARGET_ORDER,66
WF2,0.25,STRICT_TRADE_THROUGH,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,2
WF2,0.25,STRICT_TRADE_THROUGH,FILLED,44
WF2,0.25,STRICT_TRADE_THROUGH,FILLED_AT_OPEN,2105
WF2,0.25,STRICT_TRADE_THROUGH,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,12
WF2,0.25,STRICT_TRADE_THROUGH,MISS_TARGET_BEFORE_FILL,30
WF2,0.25,STRICT_TRADE_THROUGH,STOP_INVALIDATED_BEFORE_ENTRY,113
WF2,0.25,STRICT_TRADE_THROUGH,TARGET_CONSUMED_BEFORE_ENTRY,475
WF2,0.25,TOUCH_FILL,AMBIGUOUS_FILL_TARGET_ORDER,66
WF2,0.25,TOUCH_FILL,BOTH_BOUNDARIES_TOUCHED_BEFORE_ENTRY,2
WF2,0.25,TOUCH_FILL,FILLED,44
WF2,0.25,TOUCH_FILL,FILLED_AT_OPEN,2105
WF2,0.25,TOUCH_FILL,GAP_INVALID_BEFORE_LIMIT_ACTIVATION,12
WF2,0.25,TOUCH_FILL,MISS_TARGET_BEFORE_FILL,30
WF2,0.25,TOUCH_FILL,STOP_INVALIDATED_BEFORE_ENTRY,113
WF2,0.25,TOUCH_FILL,TARGET_CONSUMED_BEFORE_ENTRY,475
WF2,0.5,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_STOP_ORDER,11
WF2,0.5,STRICT_TRADE_THROUGH,AMBIGUOUS_FILL_TARGET_ORDER,82
