wf,region,rr_target,fill_model,n_signals,filled_n,fill_rate_per_signal,miss_target_before_fill_rate,stop_invalid_before_fill_rate,expired_rate,ambiguity_rate,median_bars_to_fill,median_actual_RR,mean_actual_RR,filled_win_rate,filled_profit_factor,E_R_lower_filled,E_R_upper_filled,EV_R_lower_per_signal,EV_R_upper_per_signal,censor_worst_EV_per_signal
WF1,R1,0.25,TOUCH_FILL,465,429,0.9225806451612903,0.0,0.0,0.0,0.0,0.0,2.6,3.104626345297741,0.3232876712328767,1.0191310820631356,0.012946239094779363,0.012946239094779304,0.01016210165504182,0.01016210165504182,-0.1274723069471087
WF2,R1,0.25,TOUCH_FILL,380,351,0.9236842105263158,0.0,0.0,0.0,0.0,0.0,2.5,3.6359176362173735,0.33024691358024694,1.2693056680972261,0.18036830239845056,0.1803683023984505,0.15378771046604728,0.15378771046604728,0.08273507888709992
WF3,R1,0.25,TOUCH_FILL,413,383,0.927360774818402,0.0,0.0,0.0,0.0,0.0,3.0,4.047009675125099,0.2893258426966292,1.1095981154755097,0.07788854835759511,0.07788854835759511,0.06713879713148635,0.06713879713148635,0.0017634944680480864
WF1,R2,0.25,TOUCH_FILL,1044,689,0.6599616858237548,0.01053639846743295,0.0,0.0,0.02586206896551724,0.0,0.8333333333333334,1.2001438241006186,0.5187406296851574,0.8678351259424467,-0.06360558406667849,-0.056709032342540586,-0.040636900931489035,-0.03000471702344305,-0.06170969786635493
WF2,R2,0.25,TOUCH_FILL,952,661,0.694327731092437,0.01365546218487395,0.0,0.0,0.026260504201680673,0.0,0.8333333333331944,1.2730275470355972,0.5515151515151515,1.1365540119141917,0.06124240534333438,0.06381816291909193,0.0424579700909671,0.05054620538508475,0.04140754992289987
WF3,R2,0.25,TOUCH_FILL,923,645,0.6988082340195017,0.004333694474539545,0.0,0.0,0.04333694474539545,0.0,0.7,1.0504623847216803,0.5805946791862285,1.1116255283898706,0.046816340545360324,0.05151117622611161,0.03132788906661459,0.04568325201352689,0.02482734735480527
WF1,R3,0.25,TOUCH_FILL,720,523,0.7263888888888889,0.004166666666666667,0.0,0.0,0.03333333333333333,0.0,0.875,1.2638964813199756,0.5825242718446602,1.5351114096706544,0.22339602539648679,0.23116301568774786,0.1597902126099871,0.17298465705443075,0.14867910149887598
WF2,R3,0.25,TOUCH_FILL,759,561,0.7391304347826086,0.014492753623188406,0.0,0.0,0.043478260869565216,0.0,0.8461538461538461,1.148401768545971,0.5882352941176471,1.270512026075232,0.11138730485450737,0.11361546884737725,0.082329747066375,0.0945168353404198,0.082329747066375
WF3,R3,0.25,TOUCH_FILL,685,519,0.7576642335766424,0.008759124087591242,0.0,0.0,0.021897810218978103,0.0,0.75,1.0855072736972415,0.544921875,0.9119270288718591,-0.0400800825641735,-0.03715039506417339,-0.029957667551615816,-0.02265839747862303,-0.0401766456538056
WF1,R4,0.25,TOUCH_FILL,931,641,0.6885069817400644,0.018259935553168637,0.0,0.0,0.05370569280343716,0.0,0.75,1.247698420273515,0.5653543307086614,1.1332738386664971,0.057926896806225495,0.07367492830228849,0.03950975238663071,0.062334671828091485,0.03306506925021825
WF2,R4,0.25,TOUCH_FILL,756,576,0.7619047619047619,0.007936507936507936,0.0,0.0,0.01455026455026455,0.0,0.75,1.2594269452018798,0.5044404973357016,0.8720136933118589,-0.0634248304902156,-0.06008406202087979,-0.04723304175395687,-0.04143826311872399,-0.06442880894972407
WF3,R4,0.25,TOUCH_FILL,987,817,0.8277608915906788,0.0060790273556231,0.0,0.0,0.02330293819655522,0.0,0.75,1.1197722864030297,0.619235836627141,1.6399324867712253,0.24366335794055882,0.2691793878044148,0.18737638163818046,0.21054423033794406,0.12861245053382384
WF1,R1,0.25,STRICT_TRADE_THROUGH,465,429,0.9225806451612903,0.0,0.0,0.0,0.0,0.0,2.6,3.104626345297741,0.3232876712328767,1.0191310820631356,0.012946239094779363,0.012946239094779304,0.01016210165504182,0.01016210165504182,-0.1274723069471087
WF2,R1,0.25,STRICT_TRADE_THROUGH,380,351,0.9236842105263158,0.0,0.0,0.0,0.0,0.0,2.5,3.6359176362173735,0.33024691358024694,1.2693056680972261,0.18036830239845056,0.1803683023984505,0.15378771046604728,0.15378771046604728,0.08273507888709992
WF3,R1,0.25,STRICT_TRADE_THROUGH,413,383,0.927360774818402,0.0,0.0,0.0,0.0,0.0,3.0,4.047009675125099,0.2893258426966292,1.1095981154755097,0.07788854835759511,0.07788854835759511,0.06713879713148635,0.06713879713148635,0.0017634944680480864
WF1,R2,0.25,STRICT_TRADE_THROUGH,1044,689,0.6599616858237548,0.011494252873563218,0.0,0.0,0.02490421455938697,0.0,0.8333333333333334,1.2001438241006186,0.5187406296851574,0.8678351259424467,-0.06360558406667849,-0.056709032342540586,-0.040636900931489035,-0.030244180624975615,-0.06170969786635493
