wf,setup,variant,n_executed,n_clear,n_nonclear,clear_purity,E_R_clear,E_R_nonclear,E_R_total,required_clear_purity_for_zero_gross,purity_minus_required
WF1,CONT,CLEAR85,614,485,129,0.7899,0.1555,-0.7848,-0.042,0.8346,-0.0447
WF1,REV,CLEAR85,364,315,49,0.8654,0.112,-0.3965,0.0435,0.7798,0.0856
WF1,CONT,CLEAR90,293,242,51,0.8259,0.104,-0.6136,-0.0209,0.8551,-0.0291
WF1,REV,CLEAR90,267,241,26,0.9026,0.0935,-0.2446,0.0606,0.7234,0.1792
WF2,CONT,CLEAR85,856,688,168,0.8037,0.2302,-0.8138,0.0253,0.7795,0.0242
WF2,REV,CLEAR85,725,570,155,0.7862,0.2411,-0.6617,0.0481,0.7329,0.0533
WF2,CONT,CLEAR90,429,363,66,0.8462,0.1999,-0.6921,0.0627,0.7759,0.0703
WF2,REV,CLEAR90,497,413,84,0.831,0.162,-0.5763,0.0372,0.7806,0.0504
WF3,CONT,CLEAR85,848,640,208,0.7547,0.201,-0.772,-0.0376,0.7934,-0.0387
WF3,REV,CLEAR85,572,441,131,0.771,0.1876,-0.6452,-0.0032,0.7748,-0.0038
WF3,CONT,CLEAR90,489,393,96,0.8037,0.1121,-0.6829,-0.0439,0.8589,-0.0553
WF3,REV,CLEAR90,391,324,67,0.8286,0.1026,-0.4546,0.0071,0.8159,0.0128
