wf,setup,variant,trades,clear_purity,gross_expectancy_R
WF1,REV,CLEAR90,267,0.9026,0.0606
WF2,REV,CLEAR90,497,0.831,0.0372
WF3,REV,CLEAR90,391,0.8286,0.0071
