wf,variant,clear_status,bucket,n,target_hit_rate,gross_expectancy_R
WF1,CLEAR85,CLEAR,<0.50,123,0.8862,0.1524
WF1,CLEAR85,CLEAR,0.50-0.75,90,0.7667,0.2244
WF1,CLEAR85,CLEAR,0.75-1.00,61,0.6557,0.2252
WF1,CLEAR85,CLEAR,1.00-1.50,66,0.5,0.1016
WF1,CLEAR85,CLEAR,>=1.50,145,0.3448,0.1107
WF1,CLEAR85,NONCLEAR,<0.50,27,0.1481,-0.815
WF1,CLEAR85,NONCLEAR,0.50-0.75,19,0.0526,-0.918
WF1,CLEAR85,NONCLEAR,0.75-1.00,15,0.0,-1.0
WF1,CLEAR85,NONCLEAR,1.00-1.50,23,0.087,-0.8092
WF1,CLEAR85,NONCLEAR,>=1.50,45,0.0667,-0.6263
WF2,CLEAR85,CLEAR,<0.50,217,0.8479,0.1091
WF2,CLEAR85,CLEAR,0.50-0.75,130,0.8154,0.3225
WF2,CLEAR85,CLEAR,0.75-1.00,90,0.7667,0.4236
WF2,CLEAR85,CLEAR,1.00-1.50,78,0.5513,0.166
WF2,CLEAR85,CLEAR,>=1.50,173,0.3699,0.241
WF2,CLEAR85,NONCLEAR,<0.50,41,0.1707,-0.7941
WF2,CLEAR85,NONCLEAR,0.50-0.75,40,0.2,-0.6782
WF2,CLEAR85,NONCLEAR,0.75-1.00,20,0.05,-0.9008
WF2,CLEAR85,NONCLEAR,1.00-1.50,27,0.0741,-0.8415
WF2,CLEAR85,NONCLEAR,>=1.50,40,0.025,-0.9073
WF3,CLEAR85,CLEAR,<0.50,189,0.8995,0.1678
WF3,CLEAR85,CLEAR,0.50-0.75,127,0.8504,0.3393
WF3,CLEAR85,CLEAR,0.75-1.00,85,0.6353,0.1169
WF3,CLEAR85,CLEAR,1.00-1.50,70,0.6,0.3058
WF3,CLEAR85,CLEAR,>=1.50,169,0.3195,0.1331
WF3,CLEAR85,NONCLEAR,<0.50,50,0.22,-0.8353
WF3,CLEAR85,NONCLEAR,0.50-0.75,56,0.1786,-0.6883
WF3,CLEAR85,NONCLEAR,0.75-1.00,34,0.1176,-0.7893
WF3,CLEAR85,NONCLEAR,1.00-1.50,18,0.1111,-0.8193
WF3,CLEAR85,NONCLEAR,>=1.50,50,0.06,-0.7736
