source_tf,n,ob,control,delta,rel_uplift,d_range,d_rvol,rd_2p5
5m,38429,3.7425,3.5863,0.1562,0.0436,0.1817,0.1139,0.0248
15m,18875,3.5707,3.4502,0.1205,0.0349,0.1357,0.0897,0.0225
1h,8525,3.4107,3.3771,0.0336,0.01,0.0472,0.0363,0.0058
