bias_composition,n,ob,control,delta,rel_uplift,d_range,d_rvol,rd_2p5
MIXED,135,5.2594,4.3983,0.8611,0.1958,0.791,0.4875,0.037
BULLISH,33502,3.6353,3.4889,0.1464,0.042,0.1717,0.1194,0.0246
BEARISH,32192,3.6591,3.549,0.1101,0.031,0.127,0.0718,0.0186
