维度,treatments_total,treatments_matched,match_rate,unique_controls,unmatched
ALL,68512,65829,0.9608,121873,2683
15m,19823,18875,0.9522,48637,948
1h,9033,8525,0.9438,23591,508
5m,39656,38429,0.9691,91135,1227
