symbol,controls,clean3
AG,39859,32709
AL,33416,27249
AU,40180,33411
CF,24632,19657
CU,33226,26818
I,24238,18778
M,24519,19416
MA,24643,19746
NI,32939,26220
P,24362,19024
RB,24416,19160
RU,24326,19076
SC,39629,32397
SN,33168,26830
TA,24572,19638
