times_used,n_controls
1,78982
2,27862
3,9512
4,3168
5,1302
6,592
7,338
8,199
9,166
10,111
11,89
12,72
13,70
14,61
15,50
16,44
17,39
18,29
19,29
20,29
21,26
22,23
23,11
24,12
25,7
26,9
27,8
28,8
29,11
30,14
31,9
32,6
33,8
34,4
35,5
36,1
37,3
38,2
39,1
40,2
41,5
42,1
43,2
44,4
45,3
48,2
50,1
52,1
56,1
76,1
78,1
