fold,n,ob,control,delta,rel_uplift,d_range
F1,6352,3.7195,3.4091,0.3104,0.0911,0.3667
F2,6258,3.8205,3.4737,0.3468,0.0998,0.4079
F3,6319,3.7078,3.6064,0.1013,0.0281,0.098
F4,7729,3.638,3.7268,-0.0888,-0.0238,-0.0601
