symbol,n,ob,control,delta,rel_uplift,d_range,d_rvol,rd_2p5
M,3870,3.3679,3.1112,0.2567,0.0825,0.209,0.1402,0.0295
AU,4926,4.2455,4.0287,0.2168,0.0538,0.2687,0.2136,0.0357
SC,5283,4.2166,4.0162,0.2004,0.0499,0.2013,0.1398,0.0158
RU,4090,3.4715,3.2891,0.1824,0.0555,0.2373,0.1507,0.0315
SN,4744,4.0654,3.8847,0.1807,0.0465,0.2128,0.1526,0.023
RB,4011,3.1776,3.0169,0.1607,0.0533,0.1566,0.0811,0.0299
AG,5197,4.0128,3.8758,0.137,0.0354,0.203,0.1035,0.0261
AL,4578,3.649,3.5176,0.1314,0.0373,0.1414,0.0949,0.0116
P,3977,3.5118,3.385,0.1268,0.0374,0.1523,0.0747,0.028
I,4248,3.0199,2.9269,0.093,0.0318,0.1485,0.1227,0.0198
TA,3632,3.28,3.2062,0.0739,0.023,0.1009,0.0655,-0.0028
NI,5178,3.8564,3.7841,0.0723,0.0191,0.0631,0.0361,0.0279
CU,4737,3.7148,3.6508,0.064,0.0175,0.075,0.0244,0.0229
CF,3763,3.1434,3.1317,0.0117,0.0037,0.0197,-0.0066,-0.0026
MA,3595,3.3875,3.3891,-0.0015,-0.0005,0.0231,0.0203,0.0218
