特征视图,层级,平均R,相对上一层增量
SNAPSHOT,所有事件六动作平均,-0.03725503596427103,
SNAPSHOT,被选事件六动作平均,-0.02062130889926124,0.01663372706500979
SNAPSHOT,模型所选方向平均,0.05060467653458039,0.07122598543384162
SNAPSHOT,模型最终动作,0.03706087407130885,-0.01354380246327154
TEMPORAL,所有事件六动作平均,-0.03725503596427103,
TEMPORAL,被选事件六动作平均,-0.021421790739385927,0.015833245224885103
TEMPORAL,模型所选方向平均,0.05910924606228229,0.08053103680166822
TEMPORAL,模型最终动作,0.046048751695615724,-0.013060494366666564
