品种,SNAPSHOT_累计收益,SNAPSHOT_夏普率,SNAPSHOT_利润因子,SNAPSHOT_被选事件平均收益,SNAPSHOT_事件筛选增量,SNAPSHOT_方向选择增量,SNAPSHOT_目标档位增量,TEMPORAL_累计收益,TEMPORAL_夏普率,TEMPORAL_利润因子,TEMPORAL_被选事件平均收益,TEMPORAL_事件筛选增量,TEMPORAL_方向选择增量,TEMPORAL_目标档位增量,夏普率差值(TEMPORAL-SNAPSHOT)
AG,0.258,0.0936,1.0360330945682512,0.02079952029435058,0.022944776726987894,0.061903329684045494,0.014815329028594604,-0.0315,-0.0111,1.04315807943845,0.024849816885955365,0.027669948825351523,0.05585592783991218,0.020187855365969072,-0.1047
CU,4.2718,1.5128,1.143179624556174,0.08142904540125895,0.0382465211409124,0.11949166548169923,-0.04141149594443769,4.5917,1.6602,1.1613134223169645,0.0905146922422061,0.04359603441970078,0.12880957404185514,-0.04699327094243483,0.14739999999999998
M,-3.3574,-1.8674,0.8314812350373799,-0.115482947683518,-0.034092265677541464,-0.10253386447392458,0.04988421144592453,-2.7315,-1.672,0.8588929091966494,-0.0971896292458725,-0.028455443697340432,-0.07607569532353456,0.03608253875297897,0.19540000000000002
RB,-0.5733,-0.4471,1.2797468955328444,0.13779696961328647,0.07150682411831216,0.1616368609774247,-0.09722218660598075,-0.2692,-0.2563,1.3133368432871377,0.1497256828443245,0.02666865141495776,0.20353098883906828,-0.0823494285332319,0.19080000000000003
