特征视图,所有事件六动作平均,被选事件六动作平均,模型所选方向平均,模型最终动作,事件筛选增量,方向选择增量,目标档位增量,最终增量,全部事件数,被选事件数,事件筛选占比,方向选择占比,目标档位占比
SNAPSHOT,-0.03725503596427103,-0.02062130889926124,0.05060467653458039,0.03706087407130885,0.01663372706500979,0.07122598543384162,-0.01354380246327154,0.07431591003557989,8234,1591,0.22382457615127282,0.9584217619045651,-0.18224633805583806
TEMPORAL,-0.03725503596427103,-0.021421790739385927,0.05910924606228229,0.046048751695615724,0.015833245224885103,0.08053103680166822,-0.013060494366666564,0.08330378765988675,8234,1490,0.19006633035137827,0.96671518863537,-0.15678151898674808
