视图,M3_夏普率,M2_夏普率,M3_累计收益,M2_累计收益,M3_交易次数,M2_交易次数
SNAPSHOT,1.207,1.207,1.5659,1.5659,1581,1581
TEMPORAL,1.4591,1.4591,1.9059,1.9059,1481,1481
