折,SNAPSHOT_累计收益,SNAPSHOT_夏普率,SNAPSHOT_利润因子,SNAPSHOT_被选事件平均收益,SNAPSHOT_事件筛选增量,SNAPSHOT_方向选择增量,SNAPSHOT_目标档位增量,TEMPORAL_累计收益,TEMPORAL_夏普率,TEMPORAL_利润因子,TEMPORAL_被选事件平均收益,TEMPORAL_事件筛选增量,TEMPORAL_方向选择增量,TEMPORAL_目标档位增量,夏普率差值(TEMPORAL-SNAPSHOT)
1,0.5269,1.4731,1.0512429209842722,0.029618400279754004,0.020904636213456805,0.016243789991893572,-0.017821915529943968,0.7119,1.9782,1.0751714581178842,0.043173780227827856,0.017190535400149344,0.03140549651565043,-0.01571414129231951,0.5050999999999999
2,0.9602,2.1735,1.1348728272159418,0.07479658157512854,0.0003215845084875574,0.12002140379496573,-0.016441064622276166,1.1152,2.5052,1.1634976929222605,0.08902069106567702,0.002194933342959178,0.1335902961598483,-0.0176591963310819,0.33169999999999966
3,0.4005,2.1699,1.208700004386415,0.11266106431479037,0.045695496487962034,0.12876240405643202,-0.015366341960799862,0.4005,2.1699,1.208700004386415,0.11266106431479037,0.045695496487962034,0.12876240405643202,-0.015366341960799862,0.0
4,-0.3218,-1.3265,0.8343221489358552,-0.11611744738425478,-0.07572933065966896,0.02364514748633706,0.00967371484109103,-0.3218,-1.3265,0.8343221489358552,-0.11611744738425478,-0.07572933065966896,0.02364514748633706,0.00967371484109103,0.0
