contact_number,n_at_risk,penetration_hazard
1,76099,0.8326
2,12415,0.6244
3,4541,0.5461
4,2009,0.5296
1/15m,3670,0.8708
1/1h,977,0.8864
1/5m,12098,0.829
1/CONTIG_SESSION,45915,0.8203
1/TRADING_DAY,11232,0.8581
1/TRADING_WEEK,2207,0.8903
2/15m,455,0.6505
2/1h,108,0.6296
2/5m,2006,0.6216
2/CONTIG_SESSION,8060,0.6243
2/TRADING_DAY,1552,0.6231
2/TRADING_WEEK,234,0.6068
3/15m,157,0.5478
3/5m,738,0.5772
3/CONTIG_SESSION,2952,0.543
3/TRADING_DAY,566,0.5212
