contact_type,n,pct_first_contact
GAP_CROSS,16186,0.9392
PENETRATE_CLOSE_AT,6324,0.6858
PENETRATE_CLOSE_BEYOND,30272,0.8156
PENETRATE_RECLAIM,22816,0.8404
TOUCH_ONLY,21361,0.5966
