scope,pm05_mean_v1_2,pm05_mean_v1_1,ratio_v12_over_v11
5m,0.136,0.4609,0.2951
15m,0.0451,0.1794,0.2514
1h,0.0152,0.0611,0.2488
CONTIG_SESSION,0.4396,1.2481,0.3522
TRADING_DAY,0.146,0.4721,0.3093
TRADING_WEEK,0.0343,0.1261,0.272
