same_price_identity_count,n,share
1,16929,0.1746
2,12853,0.1326
3,11556,0.1192
4,9633,0.0994
5,7777,0.0802
6,6969,0.0719
7,4578,0.0472
8,3748,0.0387
9,2995,0.0309
10,2739,0.0282
11,2191,0.0226
12,1866,0.0192
13,1620,0.0167
14,1297,0.0134
15,1236,0.0127
16,1037,0.0107
17,853,0.0088
18,756,0.0078
19,755,0.0078
20,645,0.0067
22,585,0.006
21,570,0.0059
23,490,0.0051
24,442,0.0046
25,417,0.0043
27,325,0.0034
26,288,0.003
29,220,0.0023
28,219,0.0023
30,211,0.0022
31,190,0.002
34,129,0.0013
33,125,0.0013
32,122,0.0013
36,97,0.001
35,91,0.0009
37,62,0.0006
40,62,0.0006
41,61,0.0006
38,39,0.0004
42,39,0.0004
45,38,0.0004
46,21,0.0002
39,21,0.0002
44,19,0.0002
43,10,0.0001
49,7,0.0001
52,7,0.0001
53,7,0.0001
48,5,0.0001
47,4,0.0
50,2,0.0
51,1,0.0
