direction,risk_ATR,n,mean_R,p25_R,median_R,p75_R,p90_R,pct_zero_R,pct_stopped,median_bars_to_best,p90_bars_to_best
LONG,0.25,96959,3.5117,0.0,0.0,2.1818,8.8021,0.6851,0.9589,2.0,69.0
LONG,0.5,96959,3.1094,0.0,0.5455,2.7273,8.6842,0.4466,0.9364,2.0,74.0
LONG,0.75,96959,2.8326,0.0,0.8244,2.8125,8.4058,0.292,0.9159,3.0,90.0
LONG,1.0,96959,2.5748,0.1659,0.8403,2.806,7.6623,0.2108,0.8955,4.0,109.0
LONG,1.5,96959,2.2405,0.2381,0.8772,2.807,6.6667,0.1315,0.8551,8.0,159.0
LONG,2.0,96959,1.9886,0.25,0.8962,2.7273,5.7778,0.0997,0.819,13.0,201.0
LONG,3.0,96959,1.6338,0.2652,0.9091,2.377,4.5748,0.0726,0.7474,26.0,268.0
SHORT,0.25,96959,3.1726,0.0,0.0,2.069,8.0,0.6902,0.9733,2.0,54.0
SHORT,0.5,96959,2.8796,0.0,0.5357,2.6829,8.0,0.4492,0.9583,2.0,61.0
SHORT,0.75,96959,2.6375,0.0,0.8187,2.7451,7.5556,0.2962,0.9421,3.0,76.0
SHORT,1.0,96959,2.3782,0.1562,0.8333,2.6526,6.8007,0.2142,0.9275,4.0,90.0
SHORT,1.5,96959,2.0699,0.2381,0.8696,2.5698,5.9649,0.1349,0.895,8.0,127.0
SHORT,2.0,96959,1.8194,0.25,0.8654,2.3839,5.1316,0.1032,0.8633,12.0,167.0
SHORT,3.0,96959,1.4981,0.2564,0.8333,2.112,4.0873,0.0727,0.8036,23.0,230.0
