risk_ATR,n,LONG_TIME_RR_DOMINATES,SHORT_TIME_RR_DOMINATES,TRADEOFF,UNRESOLVED,NO_COMPARABLE_TARGET,NO_MOVE_BOTH
0.25,96900,13758,13500,66,1131,3540,64905
0.5,96900,22867,23110,1183,2148,3540,44052
0.75,96900,27314,27565,3904,3187,3540,31390
1.0,96900,28881,29746,6771,4127,3540,23835
1.5,96900,29576,31059,12393,6071,3540,14261
2.0,96900,29051,30129,17193,7837,3540,9150
3.0,96900,25902,27508,24737,11078,3540,4135
