risk_ATR,n,LONG_DOMINATES,SHORT_DOMINATES,TRADEOFF_OR_OVERLAP,UNRESOLVED_CENSOR,NO_COMPARABLE_TARGET,pct_resolved
0.25,96900,13774,13490,64965,1131,3540,0.9518
0.5,96900,23243,23571,44398,2148,3540,0.9413
0.75,96900,28984,29406,31783,3187,3540,0.9306
1.0,96900,31847,33161,24225,4127,3540,0.9209
1.5,96900,35253,37452,14584,6071,3540,0.9008
2.0,96900,37206,38908,9409,7837,3540,0.8826
3.0,96900,37867,40104,4311,11078,3540,0.8491
