scope,pm05_mean_active,pm05_median_active,pm05_mean_v10,ratio_v11_over_v10
5m,0.4609,0.0,4.3619,0.1057
15m,0.1794,0.0,1.3043,0.1375
1h,0.0611,0.0,0.3626,0.1685
CONTIG_SESSION,1.2481,1.0,17.0686,0.0731
TRADING_DAY,0.4721,0.0,4.3249,0.1092
TRADING_WEEK,0.1261,0.0,0.893,0.1412
