direction,status,n
LONG,AMBIGUOUS_INTRABAR_ORDER,32942
LONG,CENSORED_NO_TARGET,153
LONG,NO_ACTIVE_TARGET,13405
LONG,STOPPED,295336
LONG,TARGET_REACHED_CENSORED,29621
LONG,TARGET_REACHED_THEN_STOPPED,306843
SHORT,AMBIGUOUS_INTRABAR_ORDER,33021
SHORT,CENSORED_NO_TARGET,252
SHORT,NO_ACTIVE_TARGET,5642
SHORT,STOPPED,307288
SHORT,TARGET_REACHED_CENSORED,7325
SHORT,TARGET_REACHED_THEN_STOPPED,324772
